date,Open,High,Low,Close,Volume,aVWAP_peak_220,aVWAP_peak_210,aVWAP_peak_183,aVWAP_valley_214,aVWAP_valley_202,aVWAP_valley_201,aVWAP_valley_176,aVWAP_valley_155,aVWAP_valley_154,aVWAP_valley_135,aVWAP_valley_133,aVWAP_valley_83,aVWAP_valley_82,aVWAP_valley_81,aVWAP_valley_80,aVWAP_valley_79,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,2.76,2.76,2.76,2.76,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,2.76,2.76,2.645,2.68,492.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,2.705,2.705,2.7,2.705,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,2.705,2.73,2.705,2.73,59.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,2.725,2.74,2.715,2.715,242.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,2.715,2.76,2.715,2.76,2807.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,2.76,2.76,2.745,2.745,800.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,2.745,2.745,2.745,2.745,300.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,2.745,2.75,2.735,2.74,320.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,2.74,2.75,2.74,2.74,280.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,2.74,2.74,2.74,2.74,148.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,2.74,2.74,2.74,2.74,2.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,2.74,2.74,2.73,2.74,200.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,2.74,2.74,2.74,2.74,20.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,2.74,2.74,2.74,2.74,80.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,2.74,2.74,2.725,2.74,1240.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,2.74,2.74,2.72,2.73,300.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,2.73,2.73,2.725,2.73,481.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,2.73,2.73,2.72,2.72,680.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,2.72,2.72,2.72,2.72,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,2.725,2.725,2.715,2.72,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,2.725,2.725,2.705,2.705,100.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,2.705,2.705,2.685,2.695,480.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,2.695,2.705,2.695,2.705,120.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,2.705,2.705,2.7,2.7,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,2.7,2.71,2.7,2.71,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,2.71,2.715,2.71,2.715,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:45:00+00:00,2.715,2.715,2.7,2.71,200.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:50:00+00:00,2.71,2.72,2.705,2.715,800.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:55:00+00:00,2.715,2.715,2.705,2.715,54.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:00:00+00:00,2.715,2.715,2.71,2.715,202.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:05:00+00:00,2.715,2.715,2.71,2.715,280.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:10:00+00:00,2.715,2.715,2.71,2.71,100.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:15:00+00:00,2.71,2.715,2.71,2.71,10.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:20:00+00:00,2.71,2.71,2.695,2.695,800.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:25:00+00:00,2.695,2.695,2.695,2.695,100.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:30:00+00:00,2.695,2.695,2.69,2.69,200.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:35:00+00:00,2.695,2.695,2.695,2.695,0.0,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 16:40:00+00:00,2.695,2.695,2.695,2.695,100.0,,,,,,,,,,,,,,,,,,,#000000
