date,Open,High,Low,Close,Volume,aVWAP_peak_873,aVWAP_peak_863,aVWAP_peak_862,aVWAP_peak_861,aVWAP_peak_846,aVWAP_peak_833,aVWAP_peak_811,aVWAP_peak_785,aVWAP_peak_732,aVWAP_valley_877,aVWAP_valley_853,aVWAP_valley_839,aVWAP_valley_816,aVWAP_valley_792,aVWAP_valley_758,aVWAP_valley_745,aVWAP_valley_703,aVWAP_valley_678,aVWAP_valley_642,aVWAP_valley_597,aVWAP_valley_570,aVWAP_valley_552,aVWAP_valley_491,aVWAP_valley_481,aVWAP_valley_449,aVWAP_valley_436,aVWAP_valley_402,aVWAP_valley_356,aVWAP_valley_336,aVWAP_valley_307,aVWAP_valley_269,aVWAP_valley_252,aVWAP_valley_183,aVWAP_valley_169,aVWAP_valley_143,aVWAP_valley_122,aVWAP_valley_95,aVWAP_valley_60,aVWAP_valley_23,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,119.615,119.95,119.21,119.34,2138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,119.34,119.66,119.09,119.535,1299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,119.535,120.325,119.535,120.325,3955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,120.37,120.605,120.03,120.22,1626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,120.605,120.03,83.0
2024-12-16 19:00:00+00:00,120.22,120.23,119.79,119.79,1337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,119.75,119.835,119.36,119.41,5443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,119.025,119.625,118.44,118.65,3088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,118.62,119.135,118.32,118.855,4132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,118.855,118.94,118.535,118.87,3208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,118.87,119.03,118.58,119.03,2716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
