date,Open,High,Low,Close,Volume,aVWAP_OB_bull_851,aVWAP_OB_bull_799,aVWAP_OB_bull_723,aVWAP_OB_bull_586,aVWAP_OB_bull_161,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,156.57,156.8,155.74,156.04,20640.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,20640.0,False,False,False,False
2024-12-05 16:00:00+00:00,156.045,156.8,155.9,156.645,11273.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,11273.0,174.7751937984496,False,False,False,False,20494.77519379845,False,False,False,False
2024-12-05 17:00:00+00:00,156.63,157.255,156.37,157.19,10872.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,22145.0,515.3988342046752,False,False,False,False,20345.584880716306,False,False,False,False
2024-12-05 18:00:00+00:00,157.21,157.39,156.615,156.695,9196.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,90.51104430793357,41.30179061560578,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,12949.0,708.1678445270833,False,False,False,False,20172.723099619925,False,False,False,False
2024-12-05 19:00:00+00:00,156.67,156.79,156.515,156.545,6034.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,81.8312589961351,33.87248495157198,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,6915.0,804.3978004258881,False,False,False,False,19953.518090323494,False,False,False,False
2024-12-05 20:00:00+00:00,156.525,156.7,156.245,156.375,16342.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,73.73257404286045,27.260378334366877,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-9427.0,645.771477938665,False,False,False,False,19897.525561791346,False,False,False,False
2024-12-06 15:00:00+00:00,157.19,157.405,156.84,157.13,14069.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,72.6074859536935,27.16339908902586,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,4642.0,707.7285092884532,False,False,False,False,19807.16082439923,False,False,False,False
2024-12-06 16:00:00+00:00,157.125,157.125,156.04,156.045,13843.0,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,64.69260415136905,20.49550210245944,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-9201.0,554.1048114700276,False,False,False,False,19714.69321471862,False,False,False,False
2024-12-06 17:00:00+00:00,156.02,156.105,155.57,156.0,19985.0,,,,,,0.0,0.0,0.0,0.0,155.89166666666668,#000000,,155.89166666666668,,58.833722939904014,15.829631059807056,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-29186.0,93.01791516816672,False,False,False,False,19718.884017591197,False,False,False,False
2024-12-06 18:00:00+00:00,155.97,156.36,155.8,156.315,13345.0,,,,,,0.0,0.0,0.0,0.0,155.9984373437344,#000000,,155.9984373437344,,56.398800683947684,14.231767494636344,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,-15841.0,-154.02112227630099,False,False,False,False,19620.064110341722,False,False,False,False
