date,Open,High,Low,Close,Volume,aVWAP_peak_879,aVWAP_valley_875,aVWAP_valley_833,aVWAP_valley_828,aVWAP_valley_807,aVWAP_valley_774,aVWAP_valley_755,aVWAP_valley_738,aVWAP_valley_737,aVWAP_valley_709,aVWAP_valley_685,aVWAP_valley_662,aVWAP_valley_618,aVWAP_valley_565,aVWAP_valley_544,aVWAP_valley_504,aVWAP_valley_493,aVWAP_valley_416,aVWAP_valley_380,aVWAP_valley_346,aVWAP_valley_345,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,3.635,3.645,3.635,3.64,101.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,3.64,3.64,3.61,3.62,65.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,3.62,3.625,3.62,3.625,183.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,3.625,3.625,3.61,3.62,100.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,3.62,3.62,3.575,3.59,445.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,3.59,3.595,3.54,3.545,205.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,3.555,3.56,3.535,3.555,225.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,3.555,3.565,3.55,3.565,330.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,3.56,3.56,3.52,3.555,590.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,3.555,3.555,3.52,3.52,520.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 19:00:00+00:00,3.52,3.525,3.51,3.525,114.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 20:00:00+00:00,3.525,3.53,3.5,3.51,669.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 15:00:00+00:00,3.57,3.595,3.555,3.595,687.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 16:00:00+00:00,3.59,3.6,3.585,3.595,316.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 17:00:00+00:00,3.595,3.6,3.595,3.595,97.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 18:00:00+00:00,3.595,3.6,3.58,3.595,242.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 19:00:00+00:00,3.595,3.595,3.505,3.505,634.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-18 20:00:00+00:00,3.505,3.51,3.38,3.395,1034.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 15:00:00+00:00,3.45,3.46,3.435,3.45,115.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 16:00:00+00:00,3.455,3.48,3.43,3.475,145.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 17:00:00+00:00,3.475,3.48,3.435,3.455,0.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 18:00:00+00:00,3.455,3.5,3.43,3.495,339.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 19:00:00+00:00,3.495,3.5,3.445,3.45,474.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-19 20:00:00+00:00,3.45,3.46,3.43,3.44,1027.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-20 15:00:00+00:00,3.48,3.495,3.445,3.46,423.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
