date,Open,High,Low,Close,Volume,aVWAP_peak_887,aVWAP_peak_873,aVWAP_peak_859,aVWAP_peak_840,aVWAP_peak_807,aVWAP_peak_769,aVWAP_peak_722,aVWAP_peak_721,aVWAP_peak_699,aVWAP_peak_688,aVWAP_peak_670,aVWAP_peak_636,aVWAP_peak_625,aVWAP_peak_612,aVWAP_peak_599,aVWAP_peak_579,aVWAP_peak_564,aVWAP_peak_524,aVWAP_peak_510,aVWAP_peak_497,aVWAP_peak_425,aVWAP_valley_875,aVWAP_valley_853,aVWAP_valley_825,aVWAP_valley_792,aVWAP_valley_757,aVWAP_valley_734,aVWAP_valley_710,aVWAP_valley_675,aVWAP_valley_660,aVWAP_valley_619,aVWAP_valley_591,aVWAP_valley_571,aVWAP_valley_543,aVWAP_valley_527,aVWAP_valley_493,aVWAP_valley_477,aVWAP_valley_379,aVWAP_valley_355,aVWAP_valley_336,aVWAP_valley_300,aVWAP_valley_184,aVWAP_valley_163,aVWAP_valley_114,aVWAP_valley_96,aVWAP_valley_81,aVWAP_valley_55,aVWAP_valley_30,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,78.355,78.46,76.4,77.47,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,77.47,77.47,75.445,76.29,703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,76.275,76.54,75.85,75.92,575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,75.92,76.16,75.29,75.29,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,75.27,76.18,74.825,76.1,1179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,76.01,76.61,75.83,76.44,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,73.0,74.34,72.32,74.05,1194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,74.05,75.425,73.865,75.425,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,75.425,75.675,74.95,75.185,391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,75.185,78.06,75.185,78.06,689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
