date,Open,High,Low,Close,Volume,aVWAP_peak_603,aVWAP_peak_584,aVWAP_peak_545,aVWAP_peak_463,aVWAP_peak_445,aVWAP_peak_415,aVWAP_peak_403,aVWAP_valley_610,aVWAP_valley_594,aVWAP_valley_557,aVWAP_valley_535,aVWAP_valley_475,aVWAP_valley_455,aVWAP_valley_437,aVWAP_valley_407,aVWAP_valley_381,aVWAP_valley_337,aVWAP_valley_314,aVWAP_valley_296,aVWAP_valley_244,aVWAP_valley_231,aVWAP_valley_211,aVWAP_valley_189,aVWAP_valley_163,aVWAP_valley_139,aVWAP_valley_113,aVWAP_valley_57,aVWAP_valley_41,aVWAP_valley_29,aVWAP_valley_17,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,2.16,2.165,2.065,2.145,19870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,19870.0,False,False,False,False
2023-10-31 16:00:00+00:00,2.145,2.195,2.14,2.175,12162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,12162.0,188.5581395348837,False,False,False,False,19750.496124031008,False,False,False,False
2023-11-01 16:00:00+00:00,2.125,2.215,2.115,2.195,9535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,21697.0,522.0223544258157,False,False,False,False,19592.11633916231,False,False,False,False
2023-11-02 16:00:00+00:00,2.31,2.41,2.275,2.38,18501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,40198.0,1137.1537907913068,False,False,False,False,19575.199806772194,False,False,False,False
2023-11-03 16:00:00+00:00,2.375,2.4,2.325,2.355,7540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,32658.0,1625.8490808565577,False,False,False,False,19388.607561705958,False,False,False,False
2023-11-06 16:00:00+00:00,2.355,2.36,2.215,2.255,4080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,28578.0,2043.711885804518,False,False,False,False,19151.26480881129,False,False,False,False
2023-11-06 20:00:00+00:00,2.255,2.29,2.245,2.29,2694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,31272.0,2496.863639512975,False,False,False,False,18896.11341642662,False,False,False,False
2023-11-07 16:00:00+00:00,2.255,2.325,2.205,2.315,19069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,50341.0,3238.633195489518,False,False,False,False,18898.793828575042,False,False,False,False
2023-11-07 20:00:00+00:00,2.315,2.35,2.31,2.345,6593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,56934.0,4071.119502536192,False,False,False,False,18708.006327356823,False,False,False,False
2023-11-08 16:00:00+00:00,2.235,2.285,2.21,2.265,7829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,49105.0,4769.31920017129,False,False,False,False,18539.339562591602,False,False,False,False
2023-11-08 20:00:00+00:00,2.265,2.275,2.23,2.245,8953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,40152.0,5317.887894742277,False,False,False,False,18390.71414301654,False,False,False,False
2023-11-09 16:00:00+00:00,2.425,2.445,2.225,2.235,18917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,-1.0,2.445,2.225,45.0,,,False,False,False,False,,,False,False,False,False,21235.0,5564.664826606738,False,False,False,False,18398.873613667445,False,False,False,False
