date,Open,High,Low,Close,Volume,aVWAP_peak_881,aVWAP_peak_858,aVWAP_peak_837,aVWAP_peak_804,aVWAP_peak_781,aVWAP_peak_722,aVWAP_peak_703,aVWAP_peak_654,aVWAP_peak_653,aVWAP_peak_639,aVWAP_peak_620,aVWAP_peak_619,aVWAP_peak_599,aVWAP_peak_575,aVWAP_peak_564,aVWAP_peak_532,aVWAP_peak_496,aVWAP_peak_466,aVWAP_peak_409,aVWAP_peak_394,aVWAP_peak_376,aVWAP_peak_329,aVWAP_peak_328,aVWAP_peak_293,aVWAP_peak_280,aVWAP_valley_872,aVWAP_valley_852,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,35.14,35.165,34.885,35.165,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,35.165,35.35,35.155,35.18,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,35.18,35.46,35.18,35.245,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,35.245,35.245,34.88,34.88,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,34.88,35.4,34.88,35.34,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,35.34,35.34,35.08,35.27,1204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,34.02,34.96,34.02,34.96,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,34.96,35.125,34.83,35.115,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,35.115,35.31,35.115,35.31,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,35.31,35.31,35.225,35.285,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
