date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_56,aVWAP_BoS_CHoCH_bull_92,aVWAP_BoS_CHoCH_bull_124,aVWAP_BoS_CHoCH_bear_19,aVWAP_BoS_CHoCH_bear_136,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2021-12-31 00:00:00+00:00,8.7375,10.8,8.592,10.6815,249990,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,8.2335,9.4695,7.98,9.0,238191,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,11.4165,14.7,7.79814,8.1015,6725540,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,9.2685,13.2735,9.0,11.2665,668627,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,9.5985,10.8,8.8905,8.925,273876,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,9.8445,10.8,9.12,10.1085,210059,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,9.0,10.0485,8.871,9.8445,108394,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,8.079,9.3675,7.95,8.8995,109631,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,8.7225,8.73,7.2465,8.1,89857,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-04 00:00:00+00:00,7.725,9.375,7.62075,8.493,145238,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-11 00:00:00+00:00,8.175,8.382,7.2,7.605,164042,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-18 00:00:00+00:00,9.0825,9.1125,7.365,7.95,213163,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-25 00:00:00+00:00,9.345,9.867,8.55,9.075,91192,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-01 00:00:00+00:00,8.85,9.54,8.598,9.15,93693,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-08 00:00:00+00:00,7.872,9.15,7.725,8.55,58846,,,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-15 00:00:00+00:00,7.5105,8.4,7.05,7.65,91288,,,,,,,0,,,0.0,0.0,0.0,0.0
