date,Open,High,Low,Close,Volume,aVWAP_peak_870,aVWAP_valley_852,aVWAP_valley_823,aVWAP_valley_799,aVWAP_valley_749,aVWAP_valley_748,aVWAP_valley_730,aVWAP_valley_695,aVWAP_valley_668,aVWAP_valley_636,aVWAP_valley_605,aVWAP_valley_568,aVWAP_valley_534,aVWAP_valley_496,aVWAP_valley_479,aVWAP_valley_443,aVWAP_OB_bull_823,aVWAP_OB_bull_749,aVWAP_OB_bull_730,aVWAP_OB_bull_695,aVWAP_OB_bull_668,aVWAP_OB_bull_568,aVWAP_OB_bull_534,aVWAP_OB_bear_115,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-26 15:00:00+00:00,125.89,126.37,125.34,126.265,84392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,84392.0,False,False,False,False
2024-12-26 16:00:00+00:00,126.24,126.365,125.73,126.06,48200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-48200.0,-747.2868217054263,False,False,False,False,83830.88372093023,False,False,False,False
2024-12-26 17:00:00+00:00,126.06,126.22,125.31,125.49,41253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-89453.0,-2122.5691965627066,False,False,False,False,83170.76149269876,False,False,False,False
2024-12-26 18:00:00+00:00,125.485,125.76,125.325,125.63,57508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.770992366412196,-44.80610687022902,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-31945.0,-2584.932464833052,False,False,False,False,82772.88922149413,False,False,False,False
2024-12-26 19:00:00+00:00,125.635,125.91,125.425,125.725,33955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.835874484930095,-38.79397250554764,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2010.0,-2513.6932018123844,False,False,False,False,82016.02272193608,False,False,False,False
2024-12-26 20:00:00+00:00,125.725,125.94,125.055,125.07,66159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.274452463720607,-38.79397250554764,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-64149.0,-3469.2793537222697,False,False,False,False,81770.1774084177,False,False,False,False
2024-12-27 15:00:00+00:00,123.71,123.81,122.27,123.53,109611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.939743083544453,-36.218256898434795,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-173760.0,-6109.445565292467,False,False,False,False,82201.8180687523,False,False,False,False
2024-12-27 16:00:00+00:00,123.53,124.58,123.06,123.975,64065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.172580174385008,-39.237251101968695,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-109695.0,-7715.423153427468,False,False,False,False,81920.62709094217,False,False,False,False
2024-12-27 17:00:00+00:00,123.97,124.615,123.885,124.415,45047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.181481779722354,-34.05625841144402,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-64648.0,-8598.098763451848,False,False,False,False,81348.94294999733,False,False,False,False
2024-12-27 18:00:00+00:00,124.4,125.36,124.33,125.34,42241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.978628310115752,-25.599178631923422,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-22407.0,-8812.190255491354,False,False,False,False,80742.61825309815,False,False,False,False
