date,Close,High,Low,Open,Volume,aVWAP_valley_15,Valleys_avg,color
2024-12-27 00:00:00+00:00,37.3878323202,38.2099731357,37.2410214603,37.7793279466,634574,,,#000000
2025-01-03 00:00:00+00:00,38.5133822461,39.7123376019,37.2116592884,37.5933675241,1866723,,,#000000
2025-01-10 00:00:00+00:00,37.2312340697,40.6666081913,36.8593132246,38.4546579021,2472573,,,#000000
2025-01-17 00:00:00+00:00,38.8167913566,39.6341363506,36.6342032394,37.1137853818,1879267,,,#000000
2025-01-24 00:00:00+00:00,41.8900320237,42.3402519941,39.2180743736,39.3453104522,2119271,,,#000000
2025-01-31 00:00:00+00:00,40.8329938325,42.0759924463,39.0810509044,41.8606698517,2695406,,,#000000
2025-02-07 00:00:00+00:00,40.5687342847,41.5474733506,38.9244526538,39.2767987176,2259587,,,#000000
2025-02-14 00:00:00+00:00,40.4512855967,41.5959209344,38.9048778725,40.7546947072,2426181,,,#000000
2025-02-21 00:00:00+00:00,41.3908751001,42.0759924463,40.1385784652,40.5491595033,2600765,,,#000000
2025-02-28 00:00:00+00:00,39.60957,41.8117328984,38.8853030912,41.5474733506,3578974,,,#000000
2025-03-07 00:00:00+00:00,36.899025,39.997850625,35.92956,39.5205375,4283177,,,#000000
2025-03-14 00:00:00+00:00,34.366545,36.68139,33.852135,36.4538625,4745795,,,#000000
2025-03-21 00:00:00+00:00,34.97988,35.8603125,34.129125,34.129125,3863868,,,#000000
2025-03-28 00:00:00+00:00,35.7020325,36.60225,35.3063325,35.316225,3160875,,,#000000
2025-04-04 00:00:00+00:00,34.168695,37.1067675,33.9015975,35.3063325,3424183,,,#000000
2025-04-11 00:00:00+00:00,34.2379425,35.3656875,31.73514,33.1695525,5576212,33.779590000000006,33.779590000000006,#000000
2025-04-18 00:00:00+00:00,34.8512775,35.791065,34.34676,34.62375,2167743,34.12019901802535,34.12019901802535,#000000
2025-04-25 00:00:00+00:00,36.028485,36.424185,34.010415,34.6929975,2547135,34.458666262801856,34.458666262801856,#000000
2025-05-02 00:00:00+00:00,37.8981675,37.9575225,35.1084825,35.8998825,3285510,35.07077387470225,35.07077387470225,#000000
2025-05-09 00:00:00+00:00,38.42247,38.81817,37.2056925,37.5816075,2751716,35.58949189949977,35.58949189949977,#000000
2025-05-16 00:00:00+00:00,39.01602,39.83215125,38.14548,39.2831175,5665533,36.46748085477268,36.46748085477268,#000000
2025-05-23 00:00:00+00:00,39.075375,39.6194625,37.780545675,38.7687075,3171755,36.7646276368995,36.7646276368995,#000000
2025-05-30 00:00:00+00:00,39.57,40.0,37.71515625,39.2633325,4289881,37.10402940043156,37.10402940043156,#000000
2025-06-06 00:00:00+00:00,40.7,41.5,39.05,39.46,3572598,37.46235238490743,37.46235238490743,#000000
2025-06-13 00:00:00+00:00,41.04,41.84,40.41,40.7,2469151,37.715151539430856,37.715151539430856,#000000
2025-06-20 00:00:00+00:00,40.77,41.99,40.26,41.295,2002094,37.89088596024896,37.89088596024896,#000000
2025-06-27 00:00:00+00:00,41.79,42.01,40.81,40.93,2752250,38.14017059572929,38.14017059572929,#000000
2025-07-04 00:00:00+00:00,43.16,43.3,41.3,41.87,2429604,38.393285062895025,38.393285062895025,#000000
2025-07-11 00:00:00+00:00,40.82,43.41,40.44,43.07,3142547,38.61022671268498,38.61022671268498,#000000
