date,Open,High,Low,Close,Volume,aVWAP_peak_223,aVWAP_peak_221,aVWAP_peak_217,aVWAP_peak_163,aVWAP_valley_201,aVWAP_valley_190,aVWAP_valley_189,aVWAP_valley_188,aVWAP_valley_153,aVWAP_valley_139,aVWAP_valley_138,aVWAP_valley_136,aVWAP_valley_116,aVWAP_valley_85,aVWAP_valley_84,aVWAP_valley_55,aVWAP_valley_26,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,15.225,15.225,15.19,15.19,70.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,15.19,15.19,15.085,15.155,470.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,15.155,15.255,15.155,15.255,467.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,15.205,15.205,15.125,15.17,330.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,15.205,15.22,15.14,15.14,1110.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,15.14,15.26,15.14,15.195,270.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,15.195,15.195,15.15,15.15,310.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,15.15,15.18,15.15,15.17,355.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,15.17,15.22,15.155,15.19,683.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,15.19,15.24,15.185,15.21,333.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,15.195,15.195,15.16,15.17,713.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,15.17,15.205,15.17,15.18,449.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,15.165,15.19,15.125,15.19,279.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,15.21,15.21,15.115,15.115,879.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,15.115,15.17,15.115,15.165,609.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,15.165,15.18,15.155,15.18,401.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,15.18,15.215,15.16,15.21,1040.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,15.2,15.23,15.19,15.23,1155.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,15.225,15.225,15.17,15.22,789.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,15.22,15.22,15.195,15.195,48.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,15.165,15.175,15.165,15.175,320.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,15.145,15.145,15.115,15.115,64.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:20:00+00:00,15.115,15.115,15.11,15.11,91.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:25:00+00:00,15.12,15.12,15.095,15.1,1067.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:30:00+00:00,15.1,15.135,15.07,15.075,300.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:35:00+00:00,15.075,15.075,14.99,15.005,82.0,,,,,,,,,,,,,,,,,,,,#000000
2025-07-09 15:40:00+00:00,15.005,15.03,14.985,15.0,268.0,,,,,,,,,,,,,,,,,15.005,,15.005,#000000
2025-07-09 15:45:00+00:00,15.0,15.03,15.0,15.03,283.0,,,,,,,,,,,,,,,,,15.012704174228675,,15.012704174228675,#000000
