date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_138,aVWAP_peak_98,aVWAP_peak_79,aVWAP_peak_64,aVWAP_peak_50,aVWAP_peak_22,aVWAP_valley_150,aVWAP_valley_129,aVWAP_valley_103,aVWAP_valley_74,aVWAP_valley_60,aVWAP_valley_34,aVWAP_valley_12,aVWAP_OB_bull_140,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2024-10-02 00:00:00+00:00,7.52,8.4,6.8,7.04,127812,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-03 00:00:00+00:00,6.964,7.5192,6.4904,7.4224,26609,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-04 00:00:00+00:00,7.68,7.76,6.6584,6.7552,35160,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-07 00:00:00+00:00,8.5408,9.36,7.6,7.68,100403,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-08 00:00:00+00:00,7.7608,8.12,6.96,7.84,45179,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-09 00:00:00+00:00,7.68,8.32,7.162384,8.32,28317,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-10 00:00:00+00:00,7.0712,7.8616,6.9168,7.5296,23325,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-11 00:00:00+00:00,7.2,7.5168,6.292,6.96,33202,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-14 00:00:00+00:00,7.2,7.36,6.64,7.2,9583,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-15 00:00:00+00:00,6.84,7.192,6.3808,6.984,21179,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-16 00:00:00+00:00,7.1944,7.196,6.568,6.568,7904,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-17 00:00:00+00:00,6.10948,7.6,5.92,7.36,67711,,,,,,,,,,,,,,,,,,,#000000,,,
2024-10-18 00:00:00+00:00,6.0844,6.4344,5.6264,6.1648,47729,,,,,,,,,,,,,,6.048399999999999,,6.048399999999999,,6.048399999999999,#000000,,6.048399999999999,
2024-10-21 00:00:00+00:00,6.0392,6.24,5.764008,6.16,19247,,,,,,,,,,,,,,6.038630132067208,,6.038630132067208,,6.038630132067208,#000000,,6.038630132067208,
2024-10-22 00:00:00+00:00,6.6,6.64,5.844,5.9768,27402,,,,,,,,,,,,,,6.132324776169588,,6.132324776169588,,6.132324776169588,#000000,,6.132324776169588,
2024-10-23 00:00:00+00:00,6.0,6.4776,5.844,6.32,10759,,,,,,,,,,,,,,6.129753678774678,,6.129753678774678,,6.129753678774678,#000000,,6.129753678774678,
2024-10-24 00:00:00+00:00,6.324,6.324,5.84,6.004,13220,,,,,,,,,,,,,,6.1334299269047605,,6.1334299269047605,,6.1334299269047605,#000000,,6.1334299269047605,
2024-10-25 00:00:00+00:00,7.430392,7.912,6.0,6.32,104057,,,,,,,,,,,,,,6.5922534581456205,,6.5922534581456205,,6.5922534581456205,#000000,,6.5922534581456205,
2024-10-28 00:00:00+00:00,6.803624,7.44,6.0176,7.44,25823,,,,,,,,,,,,,,6.609052329389522,,6.609052329389522,,6.609052329389522,#000000,,6.609052329389522,
2024-10-29 00:00:00+00:00,7.2,7.3592,6.4088,6.84,20986,,,,,,,,,,,,,,6.638695328497194,,6.638695328497194,,6.638695328497194,#000000,,6.638695328497194,
2024-10-30 00:00:00+00:00,6.64,7.519992,6.5624,7.064,10617,,,,,,,,,,,,,,6.648892287421384,,6.648892287421384,,6.648892287421384,#000000,,6.648892287421384,
2024-10-31 00:00:00+00:00,6.88,6.96,6.4,6.712,12165,,,,,,,,,,,,,,6.652965592068629,,6.652965592068629,,6.652965592068629,#000000,,6.652965592068629,
2024-11-01 00:00:00+00:00,7.28,8.64,6.5608,6.7832,143071,,,,,,,7.493600000000001,,,,,,,6.929400985832361,,7.211500492916181,7.493600000000001,6.929400985832361,#000000,,7.211500492916181,
2024-11-04 00:00:00+00:00,7.36,7.628,6.9632,7.28,24327,,,,,,,7.467945413923704,,,,,,,6.949929243196061,,7.208937328559882,7.467945413923704,6.949929243196061,#000000,,7.208937328559882,
2024-11-05 00:00:00+00:00,7.2,7.2404,6.8,7.12,10490,,,,,,,7.445076256221144,,,,,,,6.952835949415434,,7.198956102818289,7.445076256221144,6.952835949415434,#000000,,7.198956102818289,
2024-11-06 00:00:00+00:00,7.28,7.44,6.92,7.0376,8126,,,,,,,7.434952593532388,,,,,,,6.95726422892256,,7.196108411227474,7.434952593532388,6.95726422892256,#000000,,7.196108411227474,
2024-11-07 00:00:00+00:00,7.2,7.36,6.8,7.3568,7644,,,,,,,7.422520896287959,,,,,,,6.959825577499898,,7.1911732368939285,7.422520896287959,6.959825577499898,#000000,,7.1911732368939285,
2024-11-08 00:00:00+00:00,6.752,7.2024,6.72,6.984,7884,,,,,,,7.401746906021244,,,,,,,6.95873360114707,,7.180240253584158,7.401746906021244,6.95873360114707,#000000,,7.180240253584158,
2024-11-11 00:00:00+00:00,6.4016,7.104,6.024,7.104,17516,,,,,,,7.330431664064617,,,,,,,6.943349288010806,,7.136890476037712,7.330431664064617,6.943349288010806,#000000,,7.136890476037712,
2024-11-12 00:00:00+00:00,6.44,6.5984,6.24,6.24,4558,,,,,,,7.311999209358902,,,,,,,6.9387771888887375,,7.12538819912382,7.311999209358902,6.9387771888887375,#000000,,7.12538819912382,
