date,Close,High,Low,Open,Volume,aVWAP_peak_162,aVWAP_peak_146,aVWAP_peak_118,aVWAP_peak_86,aVWAP_peak_57,aVWAP_peak_33,aVWAP_peak_22,aVWAP_valley_167,aVWAP_valley_130,aVWAP_valley_95,aVWAP_valley_94,Peaks_avg,Valleys_avg,color
2021-12-31 00:00:00+00:00,7.545,7.68,7.5,7.58,27151,,,,,,,,,,,,,,#000000
2022-01-07 00:00:00+00:00,7.5042,7.6,7.5,7.545,9262,,,,,,,,,,,,,,#000000
2022-01-14 00:00:00+00:00,7.55,7.56,7.1,7.51,34389,,,,,,,,,,,,,,#000000
2022-01-21 00:00:00+00:00,7.1,7.52,7.1,7.44,5208,,,,,,,,,,,,,,#000000
2022-01-28 00:00:00+00:00,6.52,7.5042,6.475,7.13,83372,,,,,,,,,,,,,,#000000
2022-02-04 00:00:00+00:00,6.4,6.91,6.09,6.52,32955,,,,,,,,,,,,,,#000000
2022-02-11 00:00:00+00:00,6.645,7.11,6.23,6.5,52896,,,,,,,,,,,,,,#000000
2022-02-18 00:00:00+00:00,5.89,6.65,5.89,6.65,6732,,,,,,,,,,,,,,#000000
2022-02-25 00:00:00+00:00,6.12,6.25,5.5,5.87,21518,,,,,,,,,,,,,,#000000
2022-03-04 00:00:00+00:00,5.2,6.0711,5.2,6.05,12381,,,,,,,,,,,,,,#000000
2022-03-11 00:00:00+00:00,4.85,5.7,4.7344,5.34,3720,,,,,,,,,,,,,,#000000
2022-03-18 00:00:00+00:00,5.691,6.38,4.82,4.82,28104,,,,,,,,,,,,,,#000000
2022-03-25 00:00:00+00:00,6.4,6.95,5.4501,5.78,68359,,,,,,,,,,,,,,#000000
2022-04-01 00:00:00+00:00,6.22,7.0,6.22,6.4,4009,,,,,,,,,,,,,,#000000
2022-04-08 00:00:00+00:00,6.21,6.5,6.21,6.24,4863,,,,,,,,,,,,,,#000000
2022-04-15 00:00:00+00:00,5.9501,6.9,5.86,5.95,5585,,,,,,,,,,,,,,#000000
2022-04-22 00:00:00+00:00,5.8,6.24,5.67,5.915,4609,,,,,,,,,,,,,,#000000
2022-04-29 00:00:00+00:00,5.77,6.7155,5.26,5.82,20611,,,,,,,,,,,,,,#000000
2022-05-06 00:00:00+00:00,5.81,6.47,5.4501,5.77,9568,,,,,,,,,,,,,,#000000
2022-05-13 00:00:00+00:00,6.48,6.6,5.76,5.86,16399,,,,,,,,,,,,,,#000000
2022-05-20 00:00:00+00:00,7.42,7.4907,6.3872,6.3872,24135,,,,,,,,,,,,,,#000000
2022-05-27 00:00:00+00:00,7.35,7.45,6.8,7.285,63910,,,,,,,,,,,,,,#000000
2022-06-03 00:00:00+00:00,7.54,8.5,7.1,7.49,22665,,,,,,,7.713333333333333,,,,,7.713333333333333,,#000000
2022-06-10 00:00:00+00:00,6.19,7.51,6.0,7.51,14631,,,,,,,7.263502788502788,,,,,7.263502788502788,,#000000
2022-06-17 00:00:00+00:00,5.5,6.05,5.1,5.9,15907,,,,,,,6.7511879029378035,,,,,6.7511879029378035,,#000000
2022-06-24 00:00:00+00:00,6.22,6.22,5.4,5.5,5081,,,,,,,6.681052490105917,,,,,6.681052490105917,,#000000
2022-07-01 00:00:00+00:00,6.6,6.61,5.98,6.22,22033,,,,,,,6.6030382110885615,,,,,6.6030382110885615,,#000000
2022-07-08 00:00:00+00:00,6.395,6.5,5.955,6.15,8200,,,,,,,6.5734215273149035,,,,,6.5734215273149035,,#000000
2022-07-15 00:00:00+00:00,6.395,6.395,6.395,6.395,138,,,,,,,6.573143797116162,,,,,6.573143797116162,,#000000
2022-07-22 00:00:00+00:00,6.91,7.0,5.92,6.08,13625,,,,,,,6.5780535132316516,,,,,6.5780535132316516,,#000000
2022-07-29 00:00:00+00:00,6.8,7.0,6.5,6.9973,2544,,,,,,,6.5826310132539625,,,,,6.5826310132539625,,#000000
2022-08-05 00:00:00+00:00,7.5199,7.5199,6.6,6.77,4228,,,,,,,6.6070810695814846,,,,,6.6070810695814846,,#000000
2022-08-12 00:00:00+00:00,7.31,7.54,7.31,7.5199,1465,,,,,,,6.617415162071597,,,,,6.617415162071597,,#000000
