date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_107,aVWAP_BoS_CHoCH_bull_152,aVWAP_BoS_CHoCH_bull_490,aVWAP_BoS_CHoCH_bull_536,aVWAP_BoS_CHoCH_bull_770,aVWAP_BoS_CHoCH_bear_48,aVWAP_BoS_CHoCH_bear_90,aVWAP_BoS_CHoCH_bear_133,aVWAP_BoS_CHoCH_bear_298,aVWAP_BoS_CHoCH_bear_354,aVWAP_BoS_CHoCH_bear_513,aVWAP_BoS_CHoCH_bear_572,aVWAP_BoS_CHoCH_bear_674,aVWAP_BoS_CHoCH_bear_726,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,37.48,38.12,37.08,37.19,745690,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,745690.0,False,False,False,False
2022-01-04 00:00:00+00:00,37.11,37.93,36.5,37.93,692798,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-692798,-27168.549019607843,False,False,False,False,743615.8039215687,False,False,False,False
2022-01-05 00:00:00+00:00,35.69,37.88,35.63,37.39,1058475,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1751273,-94780.48827374086,False,False,False,False,755963.2233756249,False,False,False,False
2022-01-06 00:00:00+00:00,36.46,36.81,35.34,36.54,1316019,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,10.844944186425517,-40.058801162443274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-435254,-108132.39069437847,False,False,False,False,777926.1950079533,False,False,False,False
2022-01-07 00:00:00+00:00,34.38,35.75,33.78,35.34,2026422,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,12.74410947423582,-38.92039654786303,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2461676,-200428.2185102852,False,False,False,False,826886.814811563,False,False,False,False
2022-01-10 00:00:00+00:00,33.47,33.895,32.89,33.76,1833169,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,12.955347534427968,-38.92039654786303,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4294845,-360993.582490274,False,False,False,False,866348.861289541,False,False,False,False
2022-01-11 00:00:00+00:00,34.06,34.37,33.24,33.47,1061500,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,16.562648629014788,-36.189017733187114,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3233345,-473634.81454947894,False,False,False,False,874001.8471213237,False,False,False,False
2022-01-12 00:00:00+00:00,33.9,35.13,33.73,34.58,890575,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,18.693484833317367,-34.56729341344274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4123920,-616783.2531945974,False,False,False,False,874651.7746851933,False,False,False,False
2022-01-13 00:00:00+00:00,33.03,34.25,32.87,34.05,1152430,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,18.802823679343124,-34.56729341344274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5276350,-799511.3609124563,False,False,False,False,885545.0384230289,False,False,False,False
2022-01-14 00:00:00+00:00,32.33,33.02,31.68,32.53,1093295,,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,18.04071976291813,-34.56729341344274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6369645,-1017947.974210007,False,False,False,False,893692.0957397729,False,False,False,False
