date,Open,High,Low,Close,Volume,aVWAP_peak_222,aVWAP_valley_214,aVWAP_valley_213,aVWAP_valley_212,aVWAP_valley_197,aVWAP_valley_154,aVWAP_valley_137,aVWAP_valley_135,aVWAP_valley_134,aVWAP_valley_120,aVWAP_valley_107,aVWAP_valley_106,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,13.73,13.735,13.7,13.705,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,13.705,13.725,13.7,13.715,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,13.715,13.745,13.715,13.735,290.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,13.735,13.755,13.725,13.725,200.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,13.725,13.745,13.725,13.735,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,13.735,13.745,13.725,13.735,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,13.735,13.735,13.715,13.735,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,13.735,13.755,13.725,13.725,200.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,13.725,13.735,13.715,13.735,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,13.735,13.745,13.715,13.725,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,13.725,13.735,13.715,13.725,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,13.725,13.755,13.71,13.725,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,13.74,13.755,13.715,13.745,300.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,13.745,13.755,13.7,13.755,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,13.755,13.775,13.745,13.765,100.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,13.765,13.775,13.745,13.755,100.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,13.755,13.785,13.755,13.775,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 14:55:00+00:00,13.775,13.805,13.765,13.795,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:00:00+00:00,13.795,13.795,13.78,13.785,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:05:00+00:00,13.785,13.815,13.785,13.815,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:10:00+00:00,13.815,13.825,13.805,13.805,0.0,,,,,,,,,,,,,,,#000000
2025-07-09 15:15:00+00:00,13.805,13.825,13.805,13.815,0.0,,,,,,,,,,,,,,,#000000
