date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_834,Gap_Up_aVWAP_798,Gap_Up_aVWAP_786,Gap_Up_aVWAP_780,Gap_Up_aVWAP_750,Gap_Up_aVWAP_744,Gap_Up_aVWAP_636,Gap_Up_aVWAP_558,Gap_Up_aVWAP_498,Gap_Down_aVWAP_756,Gap_Down_aVWAP_720,Gap_Down_aVWAP_708,Gap_Down_aVWAP_624,Gap_Down_aVWAP_540,Gap_Down_aVWAP_528,Gap_Down_aVWAP_474,Gap_Down_aVWAP_450,Gap_Down_aVWAP_438,Gap_Down_aVWAP_426,aVWAP_OB_bull_861,aVWAP_OB_bull_779,aVWAP_OB_bull_244,aVWAP_OB_bear_113,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-11 15:00:00+00:00,1.365,1.37,1.345,1.35,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1259.0,False,False,False,False
2025-02-11 16:00:00+00:00,1.35,1.355,1.34,1.345,2180.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2180.0,-33.7984496124031,False,False,False,False,1273.2790697674418,False,False,False,False
2025-02-11 17:00:00+00:00,1.34,1.365,1.34,1.355,1517.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076922917,-84.61538461538439,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-663.0,-43.55351240911003,False,False,False,False,1277.0576888408148,False,False,False,False
2025-02-11 18:00:00+00:00,1.355,1.37,1.355,1.36,2484.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.33617247804081,-65.87436784668598,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1821.0,-14.645706015170337,False,False,False,False,1295.7699727347554,False,False,False,False
2025-02-11 19:00:00+00:00,1.36,1.365,1.355,1.355,1368.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28780017663523,-57.92115018971042,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,453.0,-7.3953849916793235,False,False,False,False,1296.8898181187126,False,False,False,False
2025-02-11 20:00:00+00:00,1.355,1.38,1.355,1.37,3818.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.33920116294998,-45.385513714009385,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4271.0,58.936326403540505,False,False,False,False,1335.9767976827634,False,False,False,False
2025-02-12 15:00:00+00:00,1.345,1.35,1.335,1.345,1044.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.26651209029036,-45.385513714009385,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3227.0,108.05359266084994,False,False,False,False,1331.4500256256663,False,False,False,False
2025-02-12 16:00:00+00:00,1.345,1.355,1.33,1.345,2513.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.88471937518395,-45.385513714009385,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,3227.0,156.4093509141701,False,False,False,False,1349.768629879532,False,False,False,False
2025-02-12 17:00:00+00:00,1.355,1.37,1.345,1.36,2895.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.593289883309154,-40.3320681617183,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,6122.0,248.89912841937678,False,False,False,False,1373.7257053852757,False,False,False,False
2025-02-12 18:00:00+00:00,1.36,1.36,1.35,1.35,793.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.32551914893817,-37.539560773016305,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,5329.0,327.66038224233216,False,False,False,False,1364.7222060769768,False,False,False,False
