date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_39,Gap_Up_aVWAP_37,Gap_Up_aVWAP_35,Gap_Up_aVWAP_22,Gap_Up_aVWAP_20,Gap_Up_aVWAP_19,Gap_Up_aVWAP_1,Gap_Down_aVWAP_60,Gap_Down_aVWAP_55,Gap_Down_aVWAP_49,Gap_Down_aVWAP_48,Gap_Down_aVWAP_36,Gap_Down_aVWAP_31,Gap_Down_aVWAP_30,Gap_Down_aVWAP_27,Gap_Down_aVWAP_26,Gap_Down_aVWAP_16,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-06 17:00:00+00:00,9.87,10.99,9.87,10.99,37.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,37.0,False,False,False,False
2023-12-07 17:00:00+00:00,11.32,11.68,11.32,11.55,169.0,,,,,,,11.516666666666666,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,169.0,2.6201550387596897,False,False,False,False,39.04651162790698,False,False,False,False
2023-12-08 17:00:00+00:00,11.27,11.44,11.18,11.2,1333.0,,,,,,,11.30071238348868,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,86.23853211009173,1.8348623853210384,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1164.0,-15.466979147887749,False,False,False,False,59.107806021272765,False,False,False,False
2023-12-11 17:00:00+00:00,10.12,10.12,9.83,9.85,1064.0,,,,,,,10.73372434398545,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,64.50372082179523,1.8348623853210384,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2228.0,-49.769816680478634,False,False,False,False,74.68752995892746,False,False,False,False
2023-12-12 17:00:00+00:00,9.685,9.97,9.685,9.97,367.0,,,,,,,10.626274008410046,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,51.60122129881714,37.19472913063693,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1861.0,-77.85090479395959,False,False,False,False,79.21950623863401,False,False,False,False
2023-12-13 17:00:00+00:00,9.97,9.97,9.32,9.32,1476.0,,,,,,,10.261506388447872,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,40.68878679225447,26.201000172472305,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3337.0,-128.38034813048733,False,False,False,False,100.87501776981797,False,False,False,False
2023-12-14 17:00:00+00:00,9.495,9.53,9.04,9.44,975.0,,,,,,,10.09402519811788,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,34.84353848792798,19.46775971434451,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2362.0,-163.01011017497592,False,False,False,False,114.42734307571227,False,False,False,False
2023-12-15 17:00:00+00:00,9.13,9.13,8.895,8.935,542.0,,,,,,,9.992744684441444,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,29.40181282011132,12.616922785820023,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2904.0,-205.50607745908482,False,False,False,False,121.0563765163989,False,False,False,False
2023-12-18 17:00:00+00:00,9.0,9.0,9.0,9.0,0.0,,,,,,,9.992744684441444,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,26.539090640330294,7.81003721853574,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2904.0,-247.34319253723854,False,False,False,False,119.17953346963301,False,False,False,False
2023-12-19 17:00:00+00:00,9.09,9.09,8.675,8.76,391.0,,,,,,,9.921497018626985,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,23.903839772891523,2.9432090067105463,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3295.0,-294.59368567619606,False,False,False,False,123.39380426855342,False,False,False,False
