date,Close,High,Low,Open,Volume,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-27 00:00:00+00:00,27.4688185992,28.2191197812,27.3031676889,27.7124228791,1661718,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1661718.0,False,False,False,False
2025-01-03 00:00:00+00:00,27.7806320774,28.0047480149,26.8451916427,27.0010983818,2961973,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2961973,219405.4074074074,False,False,False,False,1758033.1851851852,False,False,False,False
2025-01-10 00:00:00+00:00,26.2702855422,28.7745375394,25.4030543058,27.9462829878,4127131,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,-1.0,26.8451916427,26.1241229743,5.0,76.0445108439342,-57.79970120229608,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1165158,116845.1550068587,False,False,False,False,1933521.9122085047,False,False,False,False
2025-01-17 00:00:00+00:00,24.7014739798,26.1241229743,24.4481255287,26.0948904607,5663355,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,-1.0,25.4030543058,25.2958684227,5.0,56.705344700907936,-57.79970120229608,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-6828513,-397625.8194380938,False,False,False,False,2209805.8446375043,False,False,False,False
2025-01-24 00:00:00+00:00,24.9158457461,25.2958684227,23.7368010314,24.8963574037,6965002,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,44.61991297864616,-57.79970120229608,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,136489,-358061.75873897574,False,False,False,False,2562042.596886578,False,False,False,False
2025-01-31 00:00:00+00:00,26.0071929199,26.7340106494,23.7019168986,24.7014739798,6420704,"rgba(239, 83, 80, 0.5)",0.0,0.0,,25.48104015596667,,0.0,0.0,0.0,0.0,42.461321588736254,-57.79970120229608,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,6557193,154179.33450094837,False,False,False,False,2847869.3674875726,False,False,False,False
2025-02-07 00:00:00+00:00,26.66005239,27.2836793465,24.98892703,25.2763800803,6855256,"rgba(239, 83, 80, 0.5)",0.0,0.0,,25.909544569425467,,0.0,0.0,0.0,0.0,43.527851187274834,-57.79970120229608,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,13412449,1136273.3837971743,False,False,False,False,3144712.8217477524,False,False,False,False
2025-02-14 00:00:00+00:00,27.0205867242,27.410353572,25.3543334498,26.6210757052,4619153,"rgba(239, 83, 80, 0.5)",0.0,0.0,,26.086500423241926,,0.0,0.0,0.0,0.0,45.50482374202199,-57.79970120229608,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,18031602,2387779.207219606,False,False,False,False,3253930.6127294004,False,False,False,False
2025-02-21 00:00:00+00:00,28.258096466,28.8135142241,26.8646799851,27.1959818057,3201615,#000000,0.0,0.0,,26.37366808438204,,0.0,0.0,0.0,0.0,50.10565746038958,-57.79970120229608,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,21233217,3783737.562240375,False,False,False,False,3250055.382156852,False,False,False,False
2025-02-28 00:00:00+00:00,27.5009743641,28.1703989253,26.6715015287,28.1314222405,4400127,#000000,0.0,0.0,,26.559006493940903,,0.0,0.0,0.0,0.0,51.12753909852664,-57.79970120229608,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,16833090,4750356.261333681,False,False,False,False,3335245.872367456,False,False,False,False
