date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_834,Gap_Up_aVWAP_828,Gap_Up_aVWAP_780,Gap_Up_aVWAP_702,Gap_Up_aVWAP_648,Gap_Up_aVWAP_600,Gap_Up_aVWAP_588,Gap_Up_aVWAP_564,Gap_Up_aVWAP_516,Gap_Up_aVWAP_504,Gap_Down_aVWAP_859,Gap_Down_aVWAP_822,Gap_Down_aVWAP_810,Gap_Down_aVWAP_798,Gap_Down_aVWAP_744,Gap_Down_aVWAP_690,Gap_Down_aVWAP_630,Gap_Down_aVWAP_444,Gap_Down_aVWAP_330,Gap_Down_aVWAP_255,aVWAP_OB_bull_557,aVWAP_OB_bull_487,aVWAP_OB_bear_773,aVWAP_OB_bear_413,aVWAP_OB_bear_217,aVWAP_OB_bear_130,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-25 14:00:00+00:00,5.17,5.24,5.16,5.24,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,319.0,False,False,False,False
2025-03-25 15:00:00+00:00,5.24,5.24,5.145,5.155,1135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1135.0,-17.5968992248062,False,False,False,False,331.65116279069764,False,False,False,False
2025-03-25 16:00:00+00:00,5.155,5.23,5.12,5.23,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.60516605166054,-74.90774907749082,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-148.0,-19.618652725196803,False,False,False,False,341.81160987921396,False,False,False,False
2025-03-25 17:00:00+00:00,5.23,5.255,5.16,5.175,739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83866251542542,-67.63708565493636,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-887.0,-33.066425551162745,False,False,False,False,347.96956941597034,False,False,False,False
2025-03-25 18:00:00+00:00,5.175,5.195,5.135,5.16,1136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02888090322784,-62.483072325474396,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2023.0,-63.91810887595092,False,False,False,False,360.1870954715367,False,False,False,False
2025-03-25 19:00:00+00:00,5.16,5.18,5.14,5.16,2135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.15569316176279,-57.77163440098274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2023.0,-94.29147152903695,False,False,False,False,387.7035746115128,False,False,False,False
2025-03-26 14:00:00+00:00,5.06,5.06,4.965,5.045,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.78553307177722,-57.77163440098274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2328.0,-128.92261150533096,False,False,False,False,386.4213486485436,False,False,False,False
2025-03-26 15:00:00+00:00,5.045,5.06,4.9,4.925,2079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.480220103816198,-57.77163440098274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4407.0,-195.24939272230256,False,False,False,False,412.66287812686073,False,False,False,False
2025-03-26 16:00:00+00:00,4.925,4.975,4.855,4.93,909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.073834779390516,-57.77163440098274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3498.0,-246.4548284940498,False,False,False,False,420.35802730318846,False,False,False,False
2025-03-26 17:00:00+00:00,4.93,4.93,4.83,4.86,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.589265078874817,-57.77163440098274,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3793.0,-301.44002495150636,False,False,False,False,418.41449199616227,False,False,False,False
2025-03-26 18:00:00+00:00,4.86,4.92,4.78,4.92,1364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.732587232546432,-54.17085183809857,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2429.0,-334.42545092125044,False,False,False,False,433.0747324303303,False,False,False,False
2025-03-26 19:00:00+00:00,4.92,4.925,4.84,4.85,1793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37252707197283,-51.1762737380799,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4222.0,-394.69792455037833,False,False,False,False,454.158845105829,False,False,False,False
2025-03-27 14:00:00+00:00,4.885,4.96,4.885,4.96,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03589861415781,-42.85031883093225,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3946.0,-449.756871456574,False,False,False,False,451.3966924685293,False,False,False,False
2025-03-27 15:00:00+00:00,4.96,4.96,4.87,4.87,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.13820737266555,-39.13873889689558,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4046.0,-505.51257887585194,False,False,False,False,445.94868173258305,False,False,False,False
2025-03-27 16:00:00+00:00,4.87,4.915,4.865,4.915,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.59582558572811,-34.305871102018315,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3945.0,-558.8379652498697,False,False,False,False,440.6006401553337,False,False,False,False
2025-03-27 17:00:00+00:00,4.915,4.99,4.85,4.88,1411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9525141466466,-31.568623797320406,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5356.0,-633.2125704397943,False,False,False,False,455.6455914707549,False,False,False,False
2025-03-27 18:00:00+00:00,4.88,4.97,4.88,4.92,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71725228863581,-27.61595635575261,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4763.0,-697.240282525999,False,False,False,False,457.7751171843866,False,False,False,False
2025-03-27 19:00:00+00:00,4.92,4.99,4.87,4.87,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0655519127522,-26.008883596542027,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6738.0,-790.8954719442005,False,False,False,False,481.2979835846287,False,False,False,False
2025-03-28 14:00:00+00:00,4.87,4.87,4.84,4.87,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.297751662163115,-24.511311595240148,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6738.0,-883.0986429218098,False,False,False,False,474.67320864533207,False,False,False,False
2025-03-28 15:00:00+00:00,4.87,4.87,4.74,4.74,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.223595305120405,-24.511311595240148,False,False,False,True,True,,1,,,False,False,False,False,,,False,False,False,False,-6920.0,-976.694012798991,False,False,False,False,470.1356395190478,False,False,False,False
