date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_858,Gap_Up_aVWAP_834,Gap_Up_aVWAP_828,Gap_Up_aVWAP_792,Gap_Up_aVWAP_768,Gap_Up_aVWAP_756,Gap_Up_aVWAP_750,Gap_Up_aVWAP_708,Gap_Up_aVWAP_666,Gap_Up_aVWAP_618,Gap_Down_aVWAP_804,Gap_Down_aVWAP_786,Gap_Down_aVWAP_762,Gap_Down_aVWAP_744,Gap_Down_aVWAP_732,Gap_Down_aVWAP_720,Gap_Down_aVWAP_612,Gap_Down_aVWAP_600,Gap_Down_aVWAP_546,Gap_Down_aVWAP_528,aVWAP_OB_bull_744,aVWAP_OB_bull_510,aVWAP_OB_bull_438,aVWAP_OB_bear_264,aVWAP_OB_bear_125,aVWAP_OB_bear_0,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-23 15:00:00+00:00,2.64,2.675,2.635,2.655,50502.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.655,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,50502.0,False,False,False,False
2025-01-23 16:00:00+00:00,2.655,2.665,2.605,2.61,72433.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6383060696031775,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-72433.0,-1122.9922480620155,False,False,False,False,50842.01550387597,False,False,False,False
2025-01-23 17:00:00+00:00,2.61,2.64,2.61,2.625,52598.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6343189409778596,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,9.09090909090916,-63.63636363636374,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19835.0,-1413.1008953788833,False,False,False,False,50869.240069707346,False,False,False,False
2025-01-23 18:00:00+00:00,2.625,2.625,2.595,2.595,30417.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6299887917779396,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,11.694408877507577,-60.384122919334246,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-50252.0,-2170.2931295590556,False,False,False,False,50552.15107637855,False,False,False,False
2025-01-23 19:00:00+00:00,2.595,2.61,2.595,2.595,56490.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6235337283442566,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,13.430075401906521,-57.52368758002564,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-50252.0,-2915.7459492558146,False,False,False,False,50644.21074961299,False,False,False,False
2025-01-23 20:00:00+00:00,2.59,2.595,2.55,2.555,80173.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6102265773141515,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,12.385018990010993,-57.11524707229125,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-130425.0,-4892.633608957274,False,False,False,False,51102.0214356655,False,False,False,False
2025-01-24 15:00:00+00:00,2.535,2.545,2.515,2.515,52890.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5988293599121457,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,10.640181025850033,-57.11524707229125,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-183315.0,-7658.871847578092,False,False,False,False,51129.74203356216,False,False,False,False
2025-01-24 16:00:00+00:00,2.515,2.54,2.515,2.525,55237.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.589986011891556,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,11.92531614699308,-54.46622898550875,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-128078.0,-9525.835074747423,False,False,False,False,51193.42045164646,False,False,False,False
2025-01-24 17:00:00+00:00,2.525,2.535,2.515,2.53,24517.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5867195678688932,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,13.996298234160774,-50.93999142645454,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-103561.0,-10983.744608472269,False,False,False,False,50779.83253766745,False,False,False,False
2025-01-24 18:00:00+00:00,2.525,2.55,2.525,2.545,96246.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5788515924967435,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,18.807173770382022,-45.081388355423435,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7315.0,-10926.864847100605,False,False,False,False,51484.73435878888,False,False,False,False
2025-01-24 19:00:00+00:00,2.545,2.57,2.545,2.565,25741.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5780390956906496,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,25.799269699775643,-37.56241391165865,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,18426.0,-10471.781671176564,False,False,False,False,51085.60669431154,False,False,False,False
2025-01-24 20:00:00+00:00,2.565,2.565,2.535,2.535,45230.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5757131520756738,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,27.66017251268395,-35.015931786386254,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-26804.0,-10724.994358445145,False,False,False,False,50994.82209439973,False,False,False,False
2025-01-27 15:00:00+00:00,2.5,2.535,2.465,2.47,58482.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.568561952057856,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,25.34597120013676,-35.015931786386254,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-85286.0,-11880.978942035143,False,False,False,False,51110.902372005934,False,False,False,False
2025-01-27 16:00:00+00:00,2.47,2.475,2.435,2.445,63167.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5588986851593263,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,22.91790262517737,-35.015931786386254,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-148453.0,-13998.374617352427,False,False,False,False,51297.81861430041,False,False,False,False
2025-01-27 17:00:00+00:00,2.445,2.455,2.43,2.435,99480.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.545202529402978,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,20.970829040941663,-35.015931786386254,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-247933.0,-17625.26803413766,False,False,False,False,52044.829178419786,False,False,False,False
2025-01-27 18:00:00+00:00,2.435,2.47,2.425,2.465,45979.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.540558578922333,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,23.969767969548585,-35.015931786386254,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-201954.0,-20483.077832058007,False,False,False,False,51950.78531518847,False,False,False,False
2025-01-27 19:00:00+00:00,2.465,2.48,2.465,2.465,18934.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5391197710468463,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,25.969060588619865,-33.46456310013577,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-201954.0,-23296.580501328423,False,False,False,False,51438.89717076694,False,False,False,False
2025-01-27 20:00:00+00:00,2.465,2.49,2.465,2.475,103947.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5328320756611458,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,28.738677026783797,-30.232851208413198,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-98007.0,-24454.881578827204,False,False,False,False,52252.976284398464,False,False,False,False
2025-01-28 15:00:00+00:00,2.48,2.485,2.455,2.455,36704.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.530503432422936,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,29.195278508115578,-29.167307655529186,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-134711.0,-26164.27876365159,False,False,False,False,52011.906884640346,False,False,False,False
