date,Close,High,Low,Open,Volume,aVWAP_OB_bull_854,aVWAP_OB_bull_850,aVWAP_OB_bull_826,aVWAP_OB_bull_576,aVWAP_OB_bull_535,aVWAP_OB_bull_502,aVWAP_OB_bull_459,aVWAP_OB_bull_358,aVWAP_OB_bull_349,aVWAP_OB_bull_341,aVWAP_OB_bull_335,aVWAP_OB_bull_328,aVWAP_OB_bull_309,aVWAP_OB_bull_298,aVWAP_OB_bull_285,aVWAP_OB_bull_248,aVWAP_OB_bull_196,aVWAP_OB_bear_802,aVWAP_OB_bear_767,aVWAP_OB_bear_756,aVWAP_OB_bear_500,aVWAP_OB_bear_238,aVWAP_OB_bear_104,aVWAP_OB_bear_84,aVWAP_OB_bear_0,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,30.0669675387,30.655909169,29.7315702712,29.7615164558,392402940,,,,,,,,,,,,,,,,,,,,,,,,,30.1514823263,,"rgba(38, 166, 154, 1.0)",1.0,32.644817,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,392402940.0,False,False,False,False
2022-01-04 00:00:00+00:00,29.2374582254,30.4133450738,28.2981462353,30.2226876986,527154400,,,,,,,,,,,,,,,,,,,,,,,,,29.672707034265027,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-527154400,-20672721.56862745,False,False,False,False,397687310.9803922,False,False,False,False
2022-01-05 00:00:00+00:00,27.5544826512,29.3632322007,27.4836100144,28.8970699272,498063880,,,,,,,,,,,,,,,,,,,,,,,,,29.132022067487103,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1025218280,-60066665.036524415,False,False,False,False,401623647.02037686,False,False,False,False
2022-01-06 00:00:00+00:00,28.1274529831,28.3869766009,27.0164495347,27.5904180728,454186370,,,,,,,,,,,,,,,,,,,,,,,,,28.819398180943217,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,6.849223207598972,-43.721545393034276,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-571031910,-80104517.78019013,False,False,False,False,403684930.27447975,False,False,False,False
2022-01-07 00:00:00+00:00,27.1981230546,28.3710152845,27.0084638855,28.0905193555,409938510,,,,,,,,,,,,,,,,,,,,,,,,,28.58700243909556,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,9.578018205545693,-41.60066237867195,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-980970420,-115432592.37704542,False,False,False,False,403930168.6950884,False,False,False,False
2022-01-10 00:00:00+00:00,27.350848596,27.4197248206,25.5978388781,26.5333177566,594680950,,,,,,,,,,,,,,,,,,,,,,,,,28.21537547790921,26.789470764899995,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,12.70710767005073,-39.121750341914336,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-386289470,-126054430.71520051,False,False,False,False,411410591.4913595,False,False,False,False
2022-01-11 00:00:00+00:00,27.7671005619,28.0146556878,26.7908549441,27.2734876191,402765080,,,,,,,,,,,,,,,,,,,,,,,,,28.130482665047335,27.0861532650823,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,18.082534802527086,-34.59498596163658,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16475610,-120465017.35382012,False,False,False,False,411071551.82503164,False,False,False,False
2022-01-12 00:00:00+00:00,27.9487740817,28.543704949,27.5584754759,28.0161529971,383413480,,,,,,,,,,,,,,,,,,,,,,,,,28.118601342726528,27.680797755015252,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,22.976448824898547,-30.623871664484998,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,399889090,-100058973.92818011,False,False,False,False,409986921.55738336,False,False,False,False
2022-01-13 00:00:00+00:00,26.5273285197,28.4289112414,26.4504666459,28.3280924199,538868090,,,,,,,,,,,,,,,,,,,,,,,,,27.99252061361247,27.3939630538012,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,22.720055779657706,-30.623871664484998,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-138979000,-101585249.46040834,False,False,False,False,415041085.02572125,False,False,False,False
2022-01-14 00:00:00+00:00,26.8936701779,27.1481129263,26.1629932558,26.2528218275,395832350,,,,,,,,,,,,,,,,,,,,,,,,,27.884240494293046,27.231691151773095,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,24.71954983802621,-29.88437013229572,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,256853350,-87528833.79529428,False,False,False,False,414287801.29922235,False,False,False,False
