date,Open,High,Low,Close,Volume,aVWAP_OB_bull_423,aVWAP_OB_bull_402,aVWAP_OB_bull_378,aVWAP_OB_bull_131,aVWAP_OB_bull_125,aVWAP_OB_bull_40,aVWAP_OB_bear_358,aVWAP_OB_bear_335,aVWAP_OB_bear_315,aVWAP_OB_bear_303,aVWAP_OB_bear_150,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-08 17:00:00+00:00,464.36,468.64,461.6,465.745,127206.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,127206.0,False,False,False,False
2023-11-09 17:00:00+00:00,481.64,482.24,467.56,469.555,257442.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,257442.0,3991.3488372093025,False,False,False,False,129225.16279069766,False,False,False,False
2023-11-10 17:00:00+00:00,478.23,484.72,478.19,483.4,221908.0,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,479350.0,11361.250405624662,False,False,False,False,130662.10600324497,False,False,False,False
2023-11-13 17:00:00+00:00,488.45,491.175,485.88,486.13,178481.0,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,657831.0,21384.037221041333,False,False,False,False,131403.48420474504,False,False,False,False
2023-11-14 17:00:00+00:00,493.31,498.31,492.89,496.21,203010.0,,,,,,,,,,,,495.80333333333334,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,860841.0,34398.87385327325,False,False,False,False,132513.66274420635,False,False,False,False
2023-11-15 17:00:00+00:00,488.47,489.89,481.975,489.025,221561.0,,,,,,,,,,,,491.19020799034,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,92.12284734675757,42.910562612081804,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,639280.0,43776.87580903646,False,False,False,False,133894.2416163892,False,False,False,False
2023-11-16 17:00:00+00:00,489.0,495.26,488.72,494.62,132074.0,,,,,,,,,,,,491.58797784943715,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,88.22245924563497,39.872842480266016,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,771354.0,55057.14130036922,False,False,False,False,133866.02081613507,False,False,False,False
2023-11-17 17:00:00+00:00,493.45,496.31,491.3,492.94,172884.0,,,,,,,,,,,,492.04503910057025,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,84.15410392903516,36.69741486629731,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,598470.0,63482.146861603804,False,False,False,False,134470.95072596244,False,False,False,False
2023-11-20 17:00:00+00:00,498.19,505.48,497.2,504.165,257276.0,,,,,,,,,,,,498.49777994554813,"rgba(38, 166, 154, 1.0)",0.0,0.0,,502.2816666666667,,83.77306520230559,36.69741486629731,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,855746.0,75765.3073753774,False,False,False,False,136374.9049782731,False,False,False,False
2023-11-21 17:00:00+00:00,496.26,501.2,494.86,499.99,189534.0,,,,,,,,,,,,498.0543666371286,"rgba(239, 83, 80, 1.0)",0.0,0.0,,500.75527623225383,,80.5099096718709,34.090355988472226,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,666212.0,84919.51966413122,False,False,False,False,137199.0769941138,False,False,False,False
