date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_196,Gap_Up_aVWAP_179,Gap_Down_aVWAP_150,Gap_Down_aVWAP_140,Gap_Down_aVWAP_136,Gap_Down_aVWAP_88,Gap_Down_aVWAP_17,aVWAP_OB_bull_165,aVWAP_OB_bull_92,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.7114698929,11.7305906601,11.1936715502,11.4604143616,1796483,,,,,,,,,,#000000,-1.0,12.802338,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1796483.0,False,False,False,False
2022-01-07 00:00:00+00:00,10.7649919179,11.7066897011,10.5929050133,11.5489433719,2397516,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2397516,-177593.77777777778,False,False,False,False,1841003.962962963,False,False,False,False
2022-01-14 00:00:00+00:00,11.1474072613,11.6445472078,10.6120257805,10.7076296164,2718243,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.631851531612641,-71.5796288290316,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,320727,-140681.12757201647,False,False,False,False,1905984.6323731137,False,False,False,False
2022-01-21 00:00:00+00:00,11.0804845762,11.8453152631,10.9561995896,11.1282864941,4236910,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.334708614169795,-65.71659236254173,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3916183,-420347.9329370523,False,False,False,False,2078645.770715846,False,False,False,False
2022-01-28 00:00:00+00:00,10.3634558073,11.109165727,10.1722481355,10.9944411239,4585994,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,10.548289889933335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.296036091648972,-64.21564856290259,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8502177,-1019001.937904678,False,False,False,False,2264375.2691813386,False,False,False,False
2022-02-04 00:00:00+00:00,10.5833446297,10.8988372881,10.322250554,10.4112577252,2999747,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,10.569322686272812,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59865415978424,-60.219378600987376,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5502430,-1351107.7202821092,False,False,False,False,2318847.2492419803,False,False,False,False
2022-02-11 00:00:00+00:00,11.615866057,11.7305906601,10.6118345728,10.6789484656,3050709,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,10.78446593845343,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.457110160460452,-49.918697919785814,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2451721,-1432634.629890842,False,False,False,False,2373059.2307796115,False,False,False,False
2022-02-18 00:00:00+00:00,11.7879529616,12.2468513737,11.4724603032,11.7210302765,3515335,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,11.045608459313797,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.30577576344726,-41.717305944681286,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1063614,-1247727.3239730017,False,False,False,False,2457672.2507218625,False,False,False,False
2022-02-25 00:00:00+00:00,11.7879529616,12.1990494558,11.3672960838,11.8357548795,2999181,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,11.17486460460007,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9119654798664,-35.70978794803667,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1063614,-1076516.855530557,False,False,False,False,2497784.0099276504,False,False,False,False
2022-03-04 00:00:00+00:00,13.0977255129,13.11684628,11.6063056734,11.8261944959,4114187,,,,,,,,,,#000000,0.0,0.0,,11.451933139390722,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.25771970178006,-27.081585298275304,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,5177801,-613234.0514171824,False,False,False,False,2617517.5647478243,False,False,False,False
