date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_37,Gap_Up_aVWAP_35,Gap_Up_aVWAP_33,Gap_Up_aVWAP_20,Gap_Up_aVWAP_18,Gap_Up_aVWAP_17,Gap_Down_aVWAP_58,Gap_Down_aVWAP_53,Gap_Down_aVWAP_47,Gap_Down_aVWAP_46,Gap_Down_aVWAP_34,Gap_Down_aVWAP_29,Gap_Down_aVWAP_28,Gap_Down_aVWAP_25,Gap_Down_aVWAP_24,Gap_Down_aVWAP_14,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-08 17:00:00+00:00,11.27,11.44,11.18,11.2,1333.0,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1333.0,False,False,False,False
2023-12-11 17:00:00+00:00,10.12,10.12,9.83,9.85,1064.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1064.0,-16.496124031007753,False,False,False,False,1328.8294573643411,False,False,False,False
2023-12-12 17:00:00+00:00,9.685,9.97,9.685,9.97,367.0,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0303030303030547,-54.54545454545458,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-697.0,-27.046571720449492,False,False,False,False,1313.9173727540413,False,False,False,False
2023-12-13 17:00:00+00:00,9.97,9.97,9.32,9.32,1476.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.970232489428134,-53.39648772921171,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2173.0,-60.317167507729344,False,False,False,False,1316.430281703591,False,False,False,False
2023-12-14 17:00:00+00:00,9.495,9.53,9.04,9.44,975.0,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760296836923719,-50.456977099164696,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1198.0,-77.9556610347413,False,False,False,False,1311.1367889640003,False,False,False,False
2023-12-15 17:00:00+00:00,9.13,9.13,8.895,8.935,542.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6081682417498495,-49.30955625654473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1740.0,-103.72379032102438,False,False,False,False,1299.2121875847133,False,False,False,False
2023-12-18 17:00:00+00:00,9.0,9.0,9.0,9.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.213533025382768,-47.39630733115526,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1740.0,-129.09241372689996,False,False,False,False,1279.0693629709967,False,False,False,False
2023-12-19 17:00:00+00:00,9.09,9.09,8.675,8.76,391.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76592814340719,-46.437712259947574,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2131.0,-160.12974064586274,False,False,False,False,1265.3008457156325,False,False,False,False
2023-12-20 17:00:00+00:00,8.78,8.78,8.64,8.64,1312.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.896073393907564,-45.812467948325754,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3443.0,-211.0269539691827,False,False,False,False,1266.024863611514,False,False,False,False
2023-12-21 17:00:00+00:00,8.66,8.66,8.38,8.5,501.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.714028770382708,-45.467511981396036,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3944.0,-268.90250507043567,False,False,False,False,1254.164013012886,False,False,False,False
