date,Open,High,Low,Close,Volume,aVWAP_OB_bull_873,aVWAP_OB_bull_785,aVWAP_OB_bull_768,aVWAP_OB_bull_564,aVWAP_OB_bull_434,aVWAP_OB_bull_392,aVWAP_OB_bull_248,aVWAP_OB_bull_175,aVWAP_OB_bull_133,aVWAP_OB_bull_123,aVWAP_OB_bear_829,aVWAP_OB_bear_816,aVWAP_OB_bear_810,aVWAP_OB_bear_792,aVWAP_OB_bear_405,aVWAP_OB_bear_379,aVWAP_OB_bear_372,aVWAP_OB_bear_331,aVWAP_OB_bear_300,aVWAP_OB_bear_252,aVWAP_OB_bear_233,aVWAP_OB_bear_226,aVWAP_OB_bear_215,aVWAP_OB_bear_196,aVWAP_OB_bear_190,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-30 15:00:00+00:00,36.71,36.71,36.64,36.64,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10.0,False,False,False,False
2024-12-30 16:00:00+00:00,36.64,37.15,36.64,36.955,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,311.0,4.821705426356589,False,False,False,False,14.666666666666666,False,False,False,False
2024-12-30 17:00:00+00:00,36.955,37.13,36.955,37.05,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,428.0,11.382609218196022,False,False,False,False,16.253229974160206,False,False,False,False
2024-12-30 18:00:00+00:00,37.05,37.28,37.05,37.28,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,647.0,21.23714240861159,False,False,False,False,19.39659074975462,False,False,False,False
2024-12-30 19:00:00+00:00,37.28,37.28,37.11,37.14,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,92.71676300578034,43.4450867052023,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,340.0,26.179202216230014,False,False,False,False,23.85555833502974,False,False,False,False
2024-12-30 20:00:00+00:00,37.14,37.49,37.14,37.47,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,90.53313578063504,41.91681642222471,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,782.0,37.897354119854356,False,False,False,False,30.338417895726955,False,False,False,False
2024-12-31 15:00:00+00:00,37.595,38.105,37.595,38.01,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.90333333333333,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,90.93625693109111,41.91681642222471,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,938.0,51.85243390094188,False,False,False,False,32.28665947873894,False,False,False,False
2024-12-31 16:00:00+00:00,38.01,38.025,37.91,37.98,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.93926545086119,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,90.45348078862087,41.91681642222471,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,765.0,62.908985313330376,False,False,False,False,34.46826165736314,False,False,False,False
2024-12-31 17:00:00+00:00,37.98,37.98,36.865,37.54,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.551660939289796,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,81.52578501383016,34.51201182711799,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,221.0,65.36000879684462,False,False,False,False,42.367978530892394,False,False,False,False
2024-12-31 18:00:00+00:00,37.54,37.54,37.33,37.52,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.541349700237966,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,75.26543033612819,29.374298873501886,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,105.0,65.97458230387029,False,False,False,False,43.509560259095615,False,False,False,False
