date,Close,High,Low,Open,Volume,aVWAP_OB_bull_856,aVWAP_OB_bull_837,aVWAP_OB_bull_824,aVWAP_OB_bull_254,aVWAP_OB_bull_18,aVWAP_OB_bear_782,aVWAP_OB_bear_776,aVWAP_OB_bear_525,aVWAP_OB_bear_374,aVWAP_OB_bear_365,aVWAP_OB_bear_358,aVWAP_OB_bear_314,aVWAP_OB_bear_290,aVWAP_OB_bear_273,aVWAP_OB_bear_224,aVWAP_OB_bear_218,aVWAP_OB_bear_176,aVWAP_OB_bear_60,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,140.0,140.0,131.0,132.5,106532,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,106532.0,False,False,False,False
2022-01-04 00:00:00+00:00,139.0,141.5,135.0,137.605,62770,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-62770,-2461.5686274509803,False,False,False,False,104815.84313725491,False,False,False,False
2022-01-05 00:00:00+00:00,128.0,138.495,125.0,136.0,83714,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-146484,-8109.50711264898,False,False,False,False,103988.3198769704,False,False,False,False
2022-01-06 00:00:00+00:00,153.5,159.0,120.5,130.0,664845,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,23.39893072460471,-28.55098016911235,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,518361,12536.395127062742,False,False,False,False,125982.69948963824,False,False,False,False
2022-01-07 00:00:00+00:00,133.0,149.0,132.5,143.0,364477,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,30.036299804055297,-23.76666577542735,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,153884,18079.438455413223,False,False,False,False,135335.41715671125,False,False,False,False
2022-01-10 00:00:00+00:00,133.5,142.5,125.0,131.0,523701,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,34.65341151556957,-20.71551897222418,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,677585,43942.40165324016,False,False,False,False,150565.4400133108,False,False,False,False
2022-01-11 00:00:00+00:00,141.5,148.0,128.0,132.225,962339,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,40.57139844161795,-16.229036296123837,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1639924,106529.9153138974,False,False,False,False,182399.6972676908,False,False,False,False
2022-01-12 00:00:00+00:00,157.0,157.5,138.0,140.57,963517,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,48.395236357615126,-9.862384081764176,False,False,False,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2603441,204447.9970662936,False,False,False,False,213031.74835523232,False,False,False,False
2022-01-13 00:00:00+00:00,139.5,155.5,138.5,152.455,538373,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,48.639014269275734,-9.862384081764176,False,False,False,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2065068,277413.48737741937,False,False,False,False,225790.2288118899,False,False,False,False
2022-01-14 00:00:00+00:00,144.5,147.0,136.0,136.5,278368,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,49.95819010211177,-9.518101636897981,False,False,False,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2343436,358433.978068501,False,False,False,False,227852.10219181576,False,False,False,False
