date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_445,Gap_Up_aVWAP_436,Gap_Up_aVWAP_428,Gap_Up_aVWAP_427,Gap_Up_aVWAP_425,Gap_Up_aVWAP_423,Gap_Up_aVWAP_421,Gap_Up_aVWAP_418,Gap_Up_aVWAP_417,Gap_Up_aVWAP_411,Gap_Down_aVWAP_444,Gap_Down_aVWAP_442,Gap_Down_aVWAP_438,Gap_Down_aVWAP_437,Gap_Down_aVWAP_435,Gap_Down_aVWAP_433,Gap_Down_aVWAP_416,Gap_Down_aVWAP_415,Gap_Down_aVWAP_406,Gap_Down_aVWAP_404,aVWAP_OB_bull_394,aVWAP_OB_bear_201,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-16 17:00:00+00:00,78.65,79.825,78.515,78.965,14623.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14623.0,False,False,False,False
2024-02-19 17:00:00+00:00,78.965,78.965,78.965,78.965,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14396.286821705426,False,False,False,False
2024-02-20 17:00:00+00:00,76.25,76.72,75.49,76.305,21507.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-21507.0,-333.4418604651163,False,False,False,False,14506.530436872783,False,False,False,False
2024-02-21 17:00:00+00:00,80.08,80.3,79.11,79.18,19783.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.290743293394137,-77.43611494009122,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1724.0,-355.0009013881377,False,False,False,False,14588.33616653367,False,False,False,False
2024-02-22 17:00:00+00:00,78.995,81.08,78.995,81.07,16196.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8269063800347,-60.72449383277529,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,14472.0,-125.12491842087977,False,False,False,False,14613.261187207567,False,False,False,False
2024-02-23 17:00:00+00:00,80.52,81.34,80.475,80.6,13352.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.15977961562157,-50.39055877900248,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,1120.0,-105.82065611978085,False,False,False,False,14593.706750196596,False,False,False,False
2024-02-26 17:00:00+00:00,81.84,82.83,81.335,82.63,21123.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6824330739971,-39.39747756704053,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,22243.0,240.67268738595217,False,False,False,False,14694.936102906726,False,False,False,False
2024-02-27 17:00:00+00:00,82.19,83.31,82.19,82.87,20616.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.34192205696739,-30.73966729443046,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,42859.0,901.4219480466351,False,False,False,False,14786.735543171737,False,False,False,False
2024-02-28 17:00:00+00:00,83.13,83.65,82.24,82.45,18333.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.23194810848582,-25.21645464863851,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,24526.0,1267.6944759838966,False,False,False,False,14841.716387463646,False,False,False,False
2024-02-29 17:00:00+00:00,85.08,86.6,85.08,85.95,14256.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99837271123008,-16.803496975548654,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,38782.0,1849.311615891123,False,False,False,False,14832.635513239404,False,False,False,False
2024-03-01 17:00:00+00:00,88.995,90.31,88.7,88.87,25929.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5212110829273,-8.707086488528823,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,64711.0,2823.911435799788,False,False,False,False,15004.67217194887,False,False,False,False
2024-03-04 17:00:00+00:00,90.92,91.26,90.06,90.26,13019.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.78843489698697,-1.8903669992103929,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,77730.0,3985.2461422214965,False,False,False,False,14973.886556879894,False,False,False,False
2024-03-05 17:00:00+00:00,90.18,91.51,89.145,90.47,21635.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71886195627476,3.605846662162108,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,99365.0,5464.002015985504,False,False,False,False,15077.159633517414,False,False,False,False
2024-03-06 17:00:00+00:00,91.72,93.11,91.47,92.83,28062.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.51668687077395,8.890513122310104,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,127427.0,7354.901209536116,False,False,False,False,15278.474988036523,False,False,False,False
2024-03-07 17:00:00+00:00,97.115,97.115,94.31,94.66,23706.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,95.36166666666668,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.87964185216218,13.633798144713296,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,151133.0,9584.019020240983,False,False,False,False,15409.134290547583,False,False,False,False
2024-03-08 17:00:00+00:00,91.075,92.215,91.075,92.16,19635.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,93.75565676841792,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.70285517208444,13.633798144713296,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,131498.0,11474.158260237245,False,False,False,False,15474.65158836855,False,False,False,False
2024-03-11 17:00:00+00:00,87.02,87.56,85.27,85.295,20021.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,91.31820536494008,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.80150377120142,13.633798144713296,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,111477.0,13024.589915117289,False,False,False,False,15545.137610254309,False,False,False,False
2024-03-12 17:00:00+00:00,81.86,82.33,80.98,81.55,19044.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,89.07695323560583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.981835471060364,29.888007178533627,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,92433.0,14255.728055968184,False,False,False,False,15599.383538777498,False,False,False,False
2024-03-13 17:00:00+00:00,82.145,82.145,80.62,80.69,10815.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,88.15750403163808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.18820510529534,21.857929908212654,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,81618.0,15300.10436517798,False,False,False,False,15525.207049804203,False,False,False,False
2024-03-14 17:00:00+00:00,79.68,81.925,79.68,81.2,24105.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.8043087991295,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.614003733103516,16.803033662207525,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,105723.0,16702.00972385739,False,False,False,False,15658.22709554367,False,False,False,False
2024-03-15 17:00:00+00:00,80.71,81.925,80.53,81.15,39881.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.19333746451109,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52307769175904,12.945994308592816,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,65842.0,17463.87003821619,False,False,False,False,16033.773962279427,False,False,False,False
2024-03-18 17:00:00+00:00,82.55,82.76,81.11,81.315,8269.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.14034545156377,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.70625249096522,10.083622443352077,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,74111.0,18342.120115143072,False,False,False,False,15913.389869840987,False,False,False,False
2024-03-19 17:00:00+00:00,82.19,83.17,81.505,82.96,4942.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.14710412849183,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.879698127011174,10.010167979661126,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,79053.0,19283.37406684628,False,False,False,False,15743.290802091513,False,False,False,False
2024-03-20 17:00:00+00:00,82.98,84.71,82.97,83.62,9752.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.25334768969877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.56415723685769,10.010167979661126,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,88805.0,20361.22873247657,False,False,False,False,15650.402572601723,False,False,False,False
2024-03-21 17:00:00+00:00,84.46,85.4,84.39,85.39,5978.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.36803681594941,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93122835823384,10.010167979661126,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,94783.0,21515.054643600964,False,False,False,False,15500.442842793944,False,False,False,False
2024-03-22 17:00:00+00:00,86.595,86.75,85.06,85.06,16903.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,83.69197465466529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.676673343487096,10.010167979661126,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,77880.0,22388.9297654056,False,False,False,False,15522.187914998689,False,False,False,False
2024-03-25 17:00:00+00:00,87.6,87.74,86.34,86.34,8837.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,84.8653517549765,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44560635447266,10.010167979661126,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,86717.0,23386.26418764737,False,False,False,False,15418.541590735143,False,False,False,False
