date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_584,Gap_Up_aVWAP_462,Gap_Up_aVWAP_450,Gap_Up_aVWAP_384,Gap_Down_aVWAP_312,Gap_Down_aVWAP_184,aVWAP_OB_bull_868,aVWAP_OB_bull_658,aVWAP_OB_bull_449,aVWAP_OB_bull_378,aVWAP_OB_bear_657,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-23 15:00:00+00:00,32.4,32.4,32.4,32.4,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-01-23 16:00:00+00:00,32.4,32.4,32.4,32.4,1.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.015503875968992248,False,False,False,False
2025-01-23 17:00:00+00:00,32.4,32.4,32.4,32.4,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.015263505798930353,False,False,False,False
2025-01-23 18:00:00+00:00,32.4,32.4,32.4,32.4,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.015026862298171743,False,False,False,False
2025-01-23 19:00:00+00:00,32.4,32.4,32.4,32.4,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.014793887688897762,False,False,False,False
2025-01-23 20:00:00+00:00,32.4,32.48,32.4,32.48,125.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,125.0,1.937984496124031,False,False,False,False,1.9525490212131007,False,False,False,False
2025-01-24 15:00:00+00:00,32.48,32.48,32.48,32.48,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,125.0,3.845922720990325,False,False,False,False,1.9222769433648355,False,False,False,False
2025-01-24 16:00:00+00:00,32.48,32.48,32.48,32.48,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,125.0,5.724280508261792,False,False,False,False,1.8924742000568535,False,False,False,False
2025-01-24 17:00:00+00:00,32.48,32.48,32.48,32.48,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,125.0,7.573516469374012,False,False,False,False,1.8631335147846542,False,False,False,False
2025-01-24 18:00:00+00:00,32.48,32.48,32.48,32.48,0.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,125.0,9.39408210550775,False,False,False,False,1.8342477238577604,False,False,False,False
