date,Open,High,Low,Close,Volume,aVWAP_OB_bull_419,aVWAP_OB_bull_353,aVWAP_OB_bull_38,aVWAP_OB_bull_20,aVWAP_OB_bull_0,aVWAP_OB_bear_388,aVWAP_OB_bear_358,aVWAP_OB_bear_245,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,5.88,5.96,5.85,5.92,571.0,,,,,5.909999999999998,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,571.0,False,False,False,False
2023-11-10 17:00:00+00:00,5.93,6.085,5.93,6.01,546.0,,,,,5.95806624888093,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,546.0,8.465116279069766,False,False,False,False,570.6124031007752,False,False,False,False
2023-11-13 17:00:00+00:00,6.215,6.36,6.215,6.36,1282.0,,,,,6.147026538835625,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1828.0,36.6749594375338,False,False,False,False,581.6416681689802,False,False,False,False
2023-11-14 17:00:00+00:00,6.4,6.865,6.4,6.71,631.0,,,,,6.253506600660066,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2459.0,74.2303864229984,False,False,False,False,582.4069136237248,False,False,False,False
2023-11-15 17:00:00+00:00,6.845,6.87,6.72,6.72,1197.0,,,,,6.39976697421339,,,,6.77,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3656.0,129.76169826140153,False,False,False,False,591.9354886063027,False,False,False,False
2023-11-16 17:00:00+00:00,6.76,6.805,6.67,6.67,696.0,,,,,6.4443337395896805,,,,6.749778129952456,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,97.38535367664466,47.64681830898019,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2960.0,173.64136185424803,False,False,False,False,593.5488918837243,False,False,False,False
2023-11-17 17:00:00+00:00,6.765,6.8,6.72,6.72,949.0,,,,,6.493195106721162,,,,6.748739150832746,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,95.85427439126804,46.425725731542556,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3909.0,231.55389887976358,False,False,False,False,599.0597617769998,False,False,False,False
2023-11-20 17:00:00+00:00,6.675,6.675,6.59,6.59,325.0,,,,,6.4997579473939,,,,6.735356804546889,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,88.90373410576888,40.345772914063275,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3584.0,283.52980742426337,False,False,False,False,594.8107732223176,False,False,False,False
2023-11-21 17:00:00+00:00,6.51,6.53,6.41,6.45,599.0,,,,,6.496547478909163,,,,6.577711763143919,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,79.55767219524736,32.43381162179486,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2985.0,325.4130662238872,False,False,False,False,594.8757224746848,False,False,False,False
2023-11-22 17:00:00+00:00,6.665,6.665,6.625,6.63,1072.0,,,,,6.516092611421793,,,,6.628609373895749,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,76.12153525992679,30.14406719862643,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4057.0,383.26712721266415,False,False,False,False,602.2729980952323,False,False,False,False
2023-11-23 17:00:00+00:00,6.63,6.63,6.63,6.63,0.0,,,,,6.516092611421793,,,,6.628609373895749,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,73.8307773030464,28.65517496766347,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4057.0,440.2242260155686,False,False,False,False,592.9354322332907,False,False,False,False
2023-11-24 17:00:00+00:00,6.83,6.84,6.815,6.84,380.0,,,,,6.53063166828322,,,,6.657734220226313,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,74.76681421222753,28.65517496766347,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4437.0,502.1897418912962,False,False,False,False,589.634107702542,False,False,False,False
2023-11-27 17:00:00+00:00,6.72,6.855,6.72,6.77,156.0,,,,,6.535291527843884,,,,6.664617423896864,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,73.27903415816897,28.65517496766347,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4281.0,560.7759474433691,False,False,False,False,582.9110982807972,False,False,False,False
2023-11-28 17:00:00+00:00,6.75,6.89,6.48,6.485,2839.0,,,,,6.556260636247739,,,,6.632568301563921,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.618333333333333,,65.85097128631747,21.949020639576403,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1442.0,574.4383358550998,False,False,False,False,617.8892207880716,False,False,False,False
2023-11-29 17:00:00+00:00,6.485,6.62,6.485,6.56,957.0,,,,,6.556161748633879,,,,6.618822020094332,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.602366526167896,,62.12725604994658,18.773425116902814,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2399.0,602.7261135937804,False,False,False,False,623.1467522487217,False,False,False,False
2023-11-30 17:00:00+00:00,6.61,6.62,6.555,6.555,2032.0,,,,,6.559089376053962,,,,6.608351599830522,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.5934059711736435,,59.54256340879603,16.532151593955334,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,367.0,599.0714451659697,False,False,False,False,644.9894382603694,False,False,False,False
2023-12-01 17:00:00+00:00,6.805,6.83,6.725,6.74,839.0,,,,,6.570552385375887,,,,6.625081070192486,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.614999999999999,,60.69782131628715,16.532151593955334,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1206.0,608.4811902021562,False,False,False,False,647.9973539462551,False,False,False,False
2023-12-04 17:00:00+00:00,6.81,6.81,6.55,6.57,487.0,,,,,6.5728305909071425,,,,6.626281016356565,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.616928757804492,,58.031206916509376,15.097041812628419,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,719.0,610.1946601215026,False,False,False,False,645.5012709393363,False,False,False,False
2023-12-05 17:00:00+00:00,6.59,6.62,6.59,6.6,1783.0,,,,,6.575966880033831,,,,6.622754510604935,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.614216366416769,,56.7495703105995,13.674065847123671,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2502.0,639.5249754684561,False,False,False,False,663.1369101495791,False,False,False,False
2023-12-06 17:00:00+00:00,6.645,6.645,6.555,6.555,1943.0,,,,,6.576877031044734,,,,6.617137651733675,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.6089987745098036,,54.98447714455398,11.718044986081011,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,559.0,638.276526236387,False,False,False,False,682.9797487519112,False,False,False,False
2023-12-07 17:00:00+00:00,6.365,6.635,6.365,6.6,3603.0,,,,6.533333333333334,6.570022137749231,,,,6.585622888317341,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.561754240603927,,54.6763366242221,11.049182079323074,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4162.0,692.9078979226446,False,False,False,False,728.2513805542071,False,False,False,False
2023-12-08 17:00:00+00:00,6.625,6.63,6.6,6.6,890.0,,,,6.548519919875361,6.571518554345235,,,,6.589188546764352,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.569921400992344,,54.47090961066752,10.378521621607234,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4162.0,746.6922715982624,False,False,False,False,730.7591110882504,False,False,False,False
2023-12-11 17:00:00+00:00,6.545,6.615,6.545,6.59,3148.0,,,,6.562862627055795,6.5728999071494885,,,,6.590191984103747,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.576413765879282,,54.06596444588729,9.480017088604235,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1014.0,750.836577464956,False,False,False,False,768.2357140171148,False,False,False,False
2023-12-12 17:00:00+00:00,6.675,6.735,6.44,6.44,810.0,,,,6.560511576539265,6.571890391202451,,,,6.587939681155556,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.574156517668008,,50.2346397333465,5.499384745946273,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,204.0,742.358490992631,False,False,False,False,768.8832223269269,False,False,False,False
2023-12-13 17:00:00+00:00,6.67,6.76,6.625,6.695,962.0,,,,6.574085838733666,6.575961482617229,,,,6.594134277140482,"rgba(239, 83, 80, 1.0)",0.0,0.0,,6.583445044894519,,52.98848922796658,5.499384745946273,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,1166.0,748.9265764035979,False,False,False,False,771.8772808955017,False,False,False,False
2023-12-14 17:00:00+00:00,7.025,7.025,6.82,6.82,872.0,,,,6.600728893210176,6.585173436143709,,,,6.608310091047298,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.602854485190804,,56.6593412465778,1.2873196075280546,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,2038.0,768.9122108779607,False,False,False,False,773.429571114176,False,False,False,False
2023-12-15 17:00:00+00:00,6.925,7.04,6.89,6.98,1443.0,,,,6.646163597089586,6.603079560600197,,,,6.6345069040634765,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.63722089385029,,61.030905628146286,5.348263865610832,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3481.0,810.9600835775271,False,False,False,False,783.8105079961268,False,False,False,False
2023-12-18 17:00:00+00:00,6.9,6.98,6.9,6.97,1072.0,,,,6.671609895833333,6.614670967875991,,,,6.650362205306761,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.657226259853603,,63.68595568189862,7.766317705458498,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2409.0,835.7358962352399,False,False,False,False,788.2785621357217,False,False,False,False
2023-12-19 17:00:00+00:00,6.98,7.01,6.93,6.995,1188.0,,,,6.697659898961013,6.627655786647431,,,,6.667494257186265,"rgba(38, 166, 154, 1.0)",0.0,0.0,,6.678264832328612,,65.77022223902483,9.727265549030712,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3597.0,878.5461924176393,False,False,False,False,794.4757937305167,False,False,False,False
