date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_25,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-07-24 00:00:00+00:00,26.5,29.45,25.94,28.5,22487719,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,22487719.0,False,False,False,False
2025-07-25 00:00:00+00:00,29.79,31.18,26.12,26.24,5951817,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,5951817,233404.58823529413,False,False,False,False,21839252.25490196,False,False,False,False
2025-07-28 00:00:00+00:00,29.48,30.94,29.11,29.77,2376304,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86954925181311,37.47819700725245,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3575513,364467.6632064591,False,False,False,False,21075999.38216071,False,False,False,False
2025-07-29 00:00:00+00:00,28.38,29.6475,27.66,29.0,1603865,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,29.11,29.06,9.0,86.68100273915043,46.660529630750744,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1971648,427494.34308071557,False,False,False,False,20312386.2691348,False,False,False,False
2025-07-30 00:00:00+00:00,27.18,29.06,26.76,28.01,4192379,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.50685379991823,35.63213863879875,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2220731,323642.36884225614,False,False,False,False,19680229.121325593,False,False,False,False
2025-07-31 00:00:00+00:00,27.54,28.38,26.8,27.13,1407410,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.62648720972476,29.811765482319316,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-813321,279055.57006412843,False,False,False,False,18963647.979312826,False,False,False,False
2025-08-01 00:00:00+00:00,26.86,27.96,26.12,27.01,920041,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.636126709040596,23.801561622532617,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-1733362,200137.23398318223,False,False,False,False,18256055.54875154,False,False,False,False
2025-08-04 00:00:00+00:00,27.05,27.65,26.5,26.65,591439,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.67853831469186,20.488730069628076,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-1141923,147507.42088580257,False,False,False,False,17563325.48801619,False,False,False,False
2025-08-05 00:00:00+00:00,28.4,28.49,27.0,27.0,590175,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,28.19,27.65,10.0,58.07023194177113,20.488730069628076,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-551748,120085.63967459461,False,False,False,False,16897711.7433881,False,False,False,False
2025-08-06 00:00:00+00:00,28.95,29.2191,28.19,28.96,1162131,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24595795164997,20.488730069628076,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,610383,139312.987138336,False,False,False,False,16280630.145608176,False,False,False,False
