date,Open,High,Low,Close,Volume,aVWAP_OB_bull_424,aVWAP_OB_bull_397,aVWAP_OB_bull_318,aVWAP_OB_bull_308,aVWAP_OB_bull_298,aVWAP_OB_bull_94,aVWAP_OB_bull_80,aVWAP_OB_bear_59,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-08 17:00:00+00:00,2.165,2.165,2.12,2.13,10466.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10466.0,False,False,False,False
2023-11-09 17:00:00+00:00,2.175,2.185,2.125,2.13,4967.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10380.744186046511,False,False,False,False
2023-11-10 17:00:00+00:00,2.15,2.165,2.13,2.15,12010.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12010.0,186.2015503875969,False,False,False,False,10406.003966107806,False,False,False,False
2023-11-13 17:00:00+00:00,2.165,2.165,2.11,2.12,5444.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,79.06976744186053,-23.25581395348813,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6566.0,285.11315425755663,False,False,False,False,10329.073672059623,False,False,False,False
2023-11-14 17:00:00+00:00,2.265,2.3,2.255,2.285,3117.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,81.76207247289366,-18.739716169744362,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9683.0,430.8168262845712,False,False,False,False,10217.258576368777,False,False,False,False
2023-11-15 17:00:00+00:00,2.275,2.28,2.245,2.255,3541.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,79.49258758551599,-18.048850638419466,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6142.0,519.3623018460507,False,False,False,False,10113.750691463834,False,False,False,False
2023-11-16 17:00:00+00:00,2.345,2.345,2.315,2.325,5607.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,80.222235852936,-13.595885400814417,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11749.0,693.4652118949491,False,False,False,False,10043.878587720208,False,False,False,False
2023-11-17 17:00:00+00:00,2.335,2.375,2.33,2.375,4990.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,81.79271085029607,-8.046810192121896,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16739.0,942.2331931058801,False,False,False,False,9965.523880933848,False,False,False,False
2023-11-20 17:00:00+00:00,2.335,2.355,2.31,2.34,6424.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,79.36708141065215,-6.575117598780729,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10315.0,1087.547407166254,False,False,False,False,9910.616533942624,False,False,False,False
2023-11-21 17:00:00+00:00,2.405,2.415,2.385,2.39,7928.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,79.14881043985959,-2.88324160516477,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18243.0,1353.5234163574748,False,False,False,False,9879.878293106303,False,False,False,False
