date,Open,High,Low,Close,Volume,aVWAP_OB_bull_441,aVWAP_OB_bull_415,aVWAP_OB_bull_369,aVWAP_OB_bull_254,aVWAP_OB_bull_192,aVWAP_OB_bull_125,aVWAP_OB_bull_116,aVWAP_OB_bull_91,aVWAP_OB_bull_54,aVWAP_OB_bull_30,aVWAP_OB_bull_17,aVWAP_OB_bear_183,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,51.99,52.16,51.315,51.43,206066.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,206066.0,False,False,False,False
2023-11-10 17:00:00+00:00,51.03,51.57,51.03,51.56,227691.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,1.0,51.57,51.03,0.0,0,,,False,False,False,False,,,False,False,False,False,227691.0,3530.093023255814,False,False,False,False,206401.27131782947,False,False,False,False
2023-11-13 17:00:00+00:00,54.22,54.4,53.635,53.7,262614.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,490305.0,11076.990805840995,False,False,False,False,207272.78649119643,False,False,False,False
2023-11-14 17:00:00+00:00,54.06,54.2,53.855,53.985,90381.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,580686.0,19908.1382352078,False,False,False,False,205460.510731643,False,False,False,False
2023-11-15 17:00:00+00:00,54.26,54.41,53.87,53.895,141247.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,98.5885678513576,48.72971106622184,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,439439.0,26412.49268117357,False,False,False,False,204464.95242572605,False,False,False,False
2023-11-16 17:00:00+00:00,54.37,54.9,54.355,54.66,317076.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,98.05439897497527,48.33364500639628,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,756515.0,37731.91139929491,False,False,False,False,206210.86014005588,False,False,False,False
2023-11-17 17:00:00+00:00,54.26,54.47,54.205,54.34,81490.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,93.83729170109565,44.61546442124413,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,675025.0,47612.42440085623,False,False,False,False,204277.20339369844,False,False,False,False
2023-11-20 17:00:00+00:00,54.285,54.58,54.195,54.46,93024.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,91.25927928816516,42.58343942158632,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,768049.0,58781.983712470865,False,False,False,False,202552.34752712946,False,False,False,False
2023-11-21 17:00:00+00:00,54.805,55.31,54.8,55.31,180096.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,90.82159245239825,42.485986808553776,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,948145.0,72570.55760840155,False,False,False,False,202204.18710035225,False,False,False,False
2023-11-22 17:00:00+00:00,55.52,55.565,55.345,55.43,315980.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,90.67079788200797,42.485986808553776,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1264125.0,91044.2698935426,False,False,False,False,203968.15319181964,False,False,False,False
