date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_40,Gap_Up_aVWAP_36,Gap_Up_aVWAP_35,Gap_Up_aVWAP_27,Gap_Up_aVWAP_15,Gap_Up_aVWAP_2,Gap_Down_aVWAP_22,Gap_Down_aVWAP_20,aVWAP_OB_bull_46,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-05-24 00:00:00+00:00,9.7062735541,9.7688325805,9.6918368557,9.7014613213,8469,,,,,,,,,,#000000,-1.0,9.741186,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8469.0,False,False,False,False
2024-05-31 00:00:00+00:00,9.6991514496,9.7207102525,9.6870246229,9.7062735541,153,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-153,-11.333333333333332,False,False,False,False,7853.0,False,False,False,False
2024-06-07 00:00:00+00:00,9.7495836493,9.7784570461,9.7399591837,9.7399591837,64201,,,,,,9.755999959699999,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,1.0,9.7640203477,9.7207102525,0.0,25.24409045752999,-113.11022614382497,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,64048,4733.802469135801,False,False,False,False,12026.925925925927,False,False,False,False
2024-06-14 00:00:00+00:00,9.8073304429,9.8217671413,9.7640203477,9.7640203477,45,,,,,,9.756029171959003,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,45.006275338061485,-93.04824955205139,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,64093,9130.78006401463,False,False,False,False,11139.375857338822,False,False,False,False
2024-06-21 00:00:00+00:00,9.8169549085,9.8217671413,9.8025182101,9.8025182101,17,,,,,,9.756044440447601,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,59.25781859022692,-77.970707591161,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,64110,13203.31487408762,False,False,False,False,10315.496164202614,False,False,False,False
2024-06-28 00:00:00+00:00,9.7866378419,9.8217671413,9.7866378419,9.8169549085,7273,,,,,,9.760345365020898,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,63.39454686701462,-72.0648556590584,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,56837,16435.43969822928,False,False,False,False,10090.126077965384,False,False,False,False
2024-07-05 00:00:00+00:00,9.8107666334,9.8107666334,9.772160567,9.7769863253,2049,,,,,,9.761391029701983,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,67.54784665347945,-65.44890099159551,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,58886,19579.925646508593,False,False,False,False,9494.487109227208,False,False,False,False
2024-07-12 00:00:00+00:00,9.8348954249,9.8348954249,9.8011151168,9.8059408751,155,,,,,,9.761521865955539,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,71.43583361248218,-58.5912439941948,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,59041,22502.968191211658,False,False,False,False,8802.673249284451,False,False,False,False
2024-07-19 00:00:00+00:00,9.8348954249,9.8397211832,9.82041815,9.82041815,686,,,,,,9.762168512037643,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,74.212967154627,-52.44190823188325,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,59041,25209.489065936723,False,False,False,False,8201.4381937819,False,False,False,False
2024-07-26 00:00:00+00:00,9.8445469415,9.8445469415,9.8348954249,9.8348954249,5054,,,,,,9.767202243721135,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,76.53516763160573,-46.4671283407599,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,64095,28089.897283274742,False,False,False,False,7968.29462387213,False,False,False,False
2024-08-02 00:00:00+00:00,9.9310973131,9.9310973131,9.8392386074,9.8445469415,244,,,,,,9.76761014124507,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,80.09406802734367,-39.16568832189121,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,64339,30775.016003032168,False,False,False,False,7396.124651733453,False,False,False,False
