date,Open,High,Low,Close,Volume,aVWAP_OB_bull_890,aVWAP_OB_bull_879,aVWAP_OB_bull_783,aVWAP_OB_bull_774,aVWAP_OB_bull_752,aVWAP_OB_bull_747,aVWAP_OB_bull_725,aVWAP_OB_bull_629,aVWAP_OB_bull_564,aVWAP_OB_bull_548,aVWAP_OB_bull_522,aVWAP_OB_bull_501,aVWAP_OB_bull_484,aVWAP_OB_bull_431,aVWAP_OB_bear_832,aVWAP_OB_bear_536,aVWAP_OB_bear_479,aVWAP_OB_bear_270,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-30 15:00:00+00:00,71.435,72.06,71.36,72.035,1505.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1505.0,False,False,False,False
2024-12-30 16:00:00+00:00,72.15,72.43,72.105,72.245,2459.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2459.0,38.12403100775194,False,False,False,False,1519.7906976744184,False,False,False,False
2024-12-30 17:00:00+00:00,72.245,72.47,71.985,72.08,1730.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,84.36018957345972,-4.739336492890978,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,729.0,48.83528634096509,False,False,False,False,1523.0497566252027,False,False,False,False
2024-12-30 18:00:00+00:00,72.08,72.08,71.78,71.91,1963.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,67.70085802722858,-4.739336492890978,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1234.0,28.94636717288811,False,False,False,False,1529.8706906310133,False,False,False,False
2024-12-30 19:00:00+00:00,71.91,72.14,71.91,72.0,3300.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,60.38778424028663,-4.739336492890978,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2066.0,60.52859403842473,False,False,False,False,1557.314555892548,False,False,False,False
2024-12-30 20:00:00+00:00,72.0,72.14,71.87,72.04,6493.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,56.95498505945804,-4.739336492890978,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8559.0,192.28784064248018,False,False,False,False,1633.8368108399504,False,False,False,False
2024-12-31 15:00:00+00:00,72.455,72.51,71.965,72.31,2137.0,,,,,,,,,,,,,,,,,,,72.26166666666667,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,60.94357927114662,-4.739336492890978,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10696.0,355.1360911751549,False,False,False,False,1641.6377905168504,False,False,False,False
2024-12-31 16:00:00+00:00,72.235,72.35,72.04,72.265,2543.0,,,,,,,,,,,,,,,,,,,72.23812037037037,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,62.084775226757756,-4.739336492890978,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8153.0,476.0332060406563,False,False,False,False,1655.6123984158137,False,False,False,False
2024-12-31 17:00:00+00:00,72.265,72.265,71.92,72.255,2326.0,,,,,,,,,,,,,,,,,,,72.20775763631173,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,62.49693582673562,-4.739336492890978,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5827.0,558.9939315283981,False,False,False,False,1666.006004641925,False,False,False,False
2024-12-31 18:00:00+00:00,72.255,72.255,71.895,71.97,2017.0,,,,,,,,,,,,,,,,,,,72.17025712069156,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,55.54184833960644,-4.739336492890978,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3810.0,609.3971263884229,False,False,False,False,1671.4477720118175,False,False,False,False
