date,Open,High,Low,Close,Volume,aVWAP_OB_bull_441,aVWAP_OB_bull_394,aVWAP_OB_bull_367,aVWAP_OB_bull_341,aVWAP_OB_bull_298,aVWAP_OB_bull_194,aVWAP_OB_bull_163,aVWAP_OB_bull_109,aVWAP_OB_bull_93,aVWAP_OB_bull_79,aVWAP_OB_bear_416,aVWAP_OB_bear_284,aVWAP_OB_bear_145,aVWAP_OB_bear_60,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,47.76,48.015,47.15,47.325,45471.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,45471.0,False,False,False,False
2023-11-10 17:00:00+00:00,46.925,47.065,46.605,47.06,29964.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29964.0,-464.5581395348837,False,False,False,False,45230.58139534884,False,False,False,False
2023-11-13 17:00:00+00:00,47.25,47.27,46.66,46.66,24910.0,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-54874.0,-1308.1153776816295,False,False,False,False,44915.53362177754,False,False,False,False
2023-11-14 17:00:00+00:00,48.135,48.41,48.01,48.21,38093.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,24.429396999591336,-28.013542700367797,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16781.0,-1548.0050617485808,False,False,False,False,44809.757906711224,False,False,False,False
2023-11-15 17:00:00+00:00,48.185,48.21,47.68,47.805,19102.0,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,36.38562080261116,-18.71870509762544,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-35883.0,-2080.3305646672075,False,False,False,False,44411.18801668469,False,False,False,False
2023-11-16 17:00:00+00:00,48.9,49.005,48.485,48.765,25227.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,48.60396369457584,-9.221310627025339,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10656.0,-2213.286679943685,False,False,False,False,44113.758745108185,False,False,False,False
2023-11-17 17:00:00+00:00,48.615,48.96,48.285,48.385,26058.0,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,53.704885355264075,-6.058877149215206,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36714.0,-2748.1814600995967,False,False,False,False,43833.82450099798,False,False,False,False
2023-11-20 17:00:00+00:00,48.49,48.655,48.21,48.6,28211.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,57.9925395421513,-3.0500703178795305,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8503.0,-2837.4034529662695,False,False,False,False,43591.61016764917,False,False,False,False
2023-11-21 17:00:00+00:00,49.84,49.98,49.47,49.575,44075.0,,,,,,,,,,,,,,,49.67499999999999,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,63.89701317294049,1.8871980366789884,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35572.0,-2241.908825788498,False,False,False,False,43599.10458365461,False,False,False,False
2023-11-22 17:00:00+00:00,49.44,49.65,49.32,49.58,51372.0,,,,,,,,,,,,,,,49.58978097792492,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,67.84607875255128,5.302738286991527,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,86944.0,-859.181557171622,False,False,False,False,43719.61459010957,False,False,False,False
