date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_99,Gap_Up_aVWAP_30,Gap_Down_aVWAP_136,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_92,aVWAP_OB_bull_25,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,13.3830376346,14.0360653746,13.2540445008,13.7377687527,727038,,,,,,,,#000000,1.0,13.923903,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,727038.0,False,False,False,False
2022-01-07 00:00:00+00:00,13.6652101149,13.8909480991,13.3923090161,13.4152859181,391876,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,391876,29027.85185185185,False,False,False,False,702211.1851851852,False,False,False,False
2022-01-14 00:00:00+00:00,13.9312584534,13.9755998432,13.3830376346,13.7619549652,338156,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,730032,80954.08504801097,False,False,False,False,675244.134430727,False,False,False,False
2022-01-21 00:00:00+00:00,13.3266031386,13.9876123287,13.302416926,13.8748239573,291668,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.27709580548385,35.136942128621456,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,438364,107428.89356297311,False,False,False,False,646831.0874358583,False,False,False,False
2022-01-28 00:00:00+00:00,13.423347989,13.5926514771,13.1572996504,13.302416926,606886,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40184387756534,26.446627782864184,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1045250,176897.12366941955,False,False,False,False,643872.1920702392,False,False,False,False
2022-02-04 00:00:00+00:00,13.1734237922,13.4636583433,13.0202444457,13.302416926,473259,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.61186393650485,18.067305457652353,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,571991,206163.33673094405,False,False,False,False,631234.1778428141,False,False,False,False
2022-02-11 00:00:00+00:00,12.6896995403,13.4636583433,12.173727005,13.0766789418,451506,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3455714405887,9.388494295972812,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,120485,199816.79326939263,False,False,False,False,617920.9794840871,False,False,False,False
2022-02-18 00:00:00+00:00,12.6090788317,12.826754745,12.3107822097,12.7703202489,391253,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.615077100337835,3.217381091863942,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-270768,164958.6604346228,False,False,False,False,601130.7587815621,False,False,False,False
2022-02-25 00:00:00+00:00,12.3591546349,12.8186926741,12.0205476586,12.705823682,533037,,,,,,,,"rgba(239, 83, 80, 0.5)",-1.0,12.91435,,12.3994649892,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.01154950062374,-1.9342759097496653,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-803805,93198.38929131742,False,False,False,False,596086.7766495945,False,False,False,False
2022-03-04 00:00:00+00:00,12.4962098396,12.7945064615,12.1576028633,12.2865959971,686765,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,12.446368555247426,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94215680574254,-3.8500692429217764,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-117040,77625.17526973835,False,False,False,False,602803.6820829579,False,False,False,False
