date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_890,Gap_Up_aVWAP_870,Gap_Up_aVWAP_851,Gap_Up_aVWAP_835,Gap_Up_aVWAP_828,Gap_Up_aVWAP_822,Gap_Up_aVWAP_808,Gap_Up_aVWAP_807,Gap_Up_aVWAP_785,Gap_Up_aVWAP_774,Gap_Down_aVWAP_816,Gap_Down_aVWAP_793,Gap_Down_aVWAP_779,Gap_Down_aVWAP_773,Gap_Down_aVWAP_738,Gap_Down_aVWAP_729,Gap_Down_aVWAP_649,Gap_Down_aVWAP_648,Gap_Down_aVWAP_636,Gap_Down_aVWAP_603,aVWAP_OB_bull_817,aVWAP_OB_bull_649,aVWAP_OB_bull_574,aVWAP_OB_bull_512,aVWAP_OB_bull_457,aVWAP_OB_bull_196,aVWAP_OB_bear_430,aVWAP_OB_bear_394,aVWAP_OB_bear_75,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,16.2101306103,16.3019963685,15.9929933636,16.0180476613,1569125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,1.0,17.669144,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1569125.0,False,False,False,False
2022-01-04 00:00:00+00:00,16.3771592616,16.4982550338,16.235184908,16.2852935034,4187894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,4187894,164231.13725490196,False,False,False,False,1671821.8235294118,False,False,False,False
2022-01-05 00:00:00+00:00,16.3019963685,16.5373397382,16.2936449359,16.4606735873,3276019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,88.96321070086789,5.85284280347156,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,911875,193550.5044213764,False,False,False,False,1734731.516724337,False,False,False,False
2022-01-06 00:00:00+00:00,16.6026479409,16.619350806,16.3186992336,16.4439707221,4200451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,88.1498997918038,5.891488426913142,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,5112326,386443.6611107342,False,False,False,False,1831426.3984214216,False,False,False,False
2022-01-07 00:00:00+00:00,16.8782452155,16.9116509458,16.6218562358,16.6611079688,3573684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,89.28862320879668,8.42302168908806,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,8686010,711916.8508710975,False,False,False,False,1899750.225934307,False,False,False,False
2022-01-10 00:00:00+00:00,16.8949480807,16.9283538109,16.7279194294,16.869893783,2734298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,90.11619535872678,11.006236372336765,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,11420308,1131853.758680074,False,False,False,False,1932477.5896231579,False,False,False,False
2022-01-11 00:00:00+00:00,17.1872482205,17.1955996531,16.8531909179,16.9367052435,3189583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,91.5430032991203,14.341949826568452,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,14609891,1660404.238731836,False,False,False,False,1981775.841010485,False,False,False,False
2022-01-12 00:00:00+00:00,17.2290053833,17.3876826021,17.1663696391,17.2290053833,4293755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,92.58337983331454,17.3768419639828,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,18903646,2336609.7979972544,False,False,False,False,2072441.690382623,False,False,False,False
2022-01-13 00:00:00+00:00,17.2707625461,17.4586697789,17.2372733016,17.3041682764,3368227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,93.3657091709727,20.179239077664846,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,22271873,3118384.825526774,False,False,False,False,2123256.800563697,False,False,False,False
2022-01-14 00:00:00+00:00,17.2874654113,17.3208711415,17.0870310297,17.2206539507,2368513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,93.92356456813768,22.737499983230094,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,24640386,3962384.8715845477,False,False,False,False,2132874.6907376694,False,False,False,False
