date,Open,High,Low,Close,Volume,aVWAP_OB_bull_425,aVWAP_OB_bull_407,aVWAP_OB_bull_378,aVWAP_OB_bull_271,aVWAP_OB_bear_396,aVWAP_OB_bear_358,aVWAP_OB_bear_342,aVWAP_OB_bear_277,aVWAP_OB_bear_248,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-09 17:00:00+00:00,7.29,7.29,7.29,7.29,500.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,500.0,False,False,False,False
2023-11-10 17:00:00+00:00,7.29,7.33,7.285,7.29,500.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,500.0,False,False,False,False
2023-11-13 17:00:00+00:00,7.29,7.335,7.29,7.335,0.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,492.2480620155039,False,False,False,False
2023-11-14 17:00:00+00:00,7.5,7.5,7.48,7.495,104.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,104.0,1.6124031007751938,False,False,False,False,486.22871221681385,False,False,False,False
2023-11-15 17:00:00+00:00,7.45,7.45,7.38,7.38,430.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,86.90702087286526,38.216318785578736,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-326.0,-3.4668589628027164,False,False,False,False,485.3569492367082,False,False,False,False
2023-11-16 17:00:00+00:00,7.46,7.495,7.46,7.485,100.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,81.94229536417596,34.53364457538645,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-226.0,-6.916985180433683,False,False,False,False,479.382422891953,False,False,False,False
2023-11-17 17:00:00+00:00,7.485,7.49,7.48,7.48,460.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,78.2684063480581,31.944003323470042,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-686.0,-17.445404014845565,False,False,False,False,479.08192021145766,False,False,False,False
2023-11-20 17:00:00+00:00,7.5,7.51,7.5,7.51,40.0,,,,,,,,,,7.506666666666666,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,76.71934072408297,31.09673895196488,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-646.0,-27.19043651073943,False,False,False,False,472.27444858027224,False,False,False,False
2023-11-21 17:00:00+00:00,7.495,7.495,7.48,7.49,121.0,,,,,,,,,,7.492888198757764,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,74.0886454068691,29.00317003893791,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-767.0,-38.66035222375122,False,False,False,False,466.82833309840754,False,False,False,False
2023-11-22 17:00:00+00:00,7.49,7.49,7.49,7.49,436.0,,,,,,,,,,7.490778894472362,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,72.33484852872652,27.57193276200644,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-767.0,-49.952439786173684,False,False,False,False,466.350374445719,False,False,False,False
