date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_852,Gap_Up_aVWAP_840,Gap_Up_aVWAP_774,Gap_Up_aVWAP_750,Gap_Up_aVWAP_744,Gap_Up_aVWAP_732,Gap_Up_aVWAP_648,Gap_Up_aVWAP_642,Gap_Up_aVWAP_612,Gap_Down_aVWAP_810,Gap_Down_aVWAP_426,Gap_Down_aVWAP_162,Gap_Down_aVWAP_60,aVWAP_OB_bull_881,aVWAP_OB_bull_684,aVWAP_OB_bull_260,aVWAP_OB_bear_840,aVWAP_OB_bear_784,aVWAP_OB_bear_643,aVWAP_OB_bear_217,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-17 14:00:00+00:00,0.4074,0.4074,0.4042,0.4042,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,0.424975,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-03-17 15:00:00+00:00,0.4042,0.4042,0.4017,0.4017,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-03-17 16:00:00+00:00,0.4017,0.4017,0.401,0.401,200.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-200.0,-3.10077519379845,False,False,False,False,3.10077519379845,False,False,False,False
2025-03-17 17:00:00+00:00,0.401,0.4019,0.401,0.4019,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.577479703494262,-42.28026826685517,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-200.0,-6.15347635358452,False,False,False,False,3.0527011597860705,False,False,False,False
2025-03-17 18:00:00+00:00,0.4019,0.4019,0.395,0.395,500.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.382610900801279,-42.28026826685517,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-700.0,-16.91078679771499,False,False,False,False,10.757310444130471,False,False,False,False
2025-03-17 19:00:00+00:00,0.395,0.395,0.395,0.395,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.252698365672622,-42.28026826685517,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-700.0,-27.50131723495972,False,False,False,False,10.590530437244727,False,False,False,False
2025-03-18 14:00:00+00:00,0.395,0.395,0.395,0.395,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.166090008920184,-42.28026826685517,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-700.0,-37.92765340185957,False,False,False,False,10.426336166899848,False,False,False,False
2025-03-18 15:00:00+00:00,0.395,0.395,0.395,0.395,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10835110441856,-42.28026826685517,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-700.0,-48.192340946016785,False,False,False,False,10.264687544157214,False,False,False,False
2025-03-18 16:00:00+00:00,0.395,0.395,0.395,0.395,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.069858501417476,-42.28026826685517,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-700.0,-58.29788604762892,False,False,False,False,10.10554510161214,False,False,False,False
2025-03-18 17:00:00+00:00,0.395,0.406,0.395,0.406,200.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.42323654957048,-25.28597657318138,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-500.0,-65.14598083758816,False,False,False,False,13.049645177556139,False,False,False,False
