date,Open,High,Low,Close,Volume,aVWAP_OB_bull_868,aVWAP_OB_bull_853,aVWAP_OB_bull_823,aVWAP_OB_bull_814,aVWAP_OB_bull_791,aVWAP_OB_bull_780,aVWAP_OB_bull_737,aVWAP_OB_bull_685,aVWAP_OB_bull_635,aVWAP_OB_bull_234,aVWAP_OB_bull_224,aVWAP_OB_bull_218,aVWAP_OB_bear_774,aVWAP_OB_bear_418,aVWAP_OB_bear_407,aVWAP_OB_bear_389,aVWAP_OB_bear_379,aVWAP_OB_bear_347,aVWAP_OB_bear_303,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-30 15:00:00+00:00,96.79,97.13,96.5,97.105,2880.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2880.0,False,False,False,False
2024-12-30 16:00:00+00:00,97.1,97.46,96.985,97.09,5495.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5495.0,-85.1937984496124,False,False,False,False,2920.542635658915,False,False,False,False
2024-12-30 17:00:00+00:00,97.135,97.56,97.13,97.3,3468.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,31.343283582089427,-97.01492537313415,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2027.0,-115.29932095426958,False,False,False,False,2929.0303467339704,False,False,False,False
2024-12-30 18:00:00+00:00,97.27,97.57,97.13,97.515,4027.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,53.273489248785054,-74.14341191489913,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2000.0,-82.50398264490106,False,False,False,False,2946.0531320559244,False,False,False,False
2024-12-30 19:00:00+00:00,97.515,97.61,97.2,97.49,3048.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,65.83171379972941,-59.14189678591664,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1048.0,-97.4729131465305,False,False,False,False,2947.6337036519567,False,False,False,False
2024-12-30 20:00:00+00:00,97.49,98.0,97.36,97.705,6787.0,,,,,,,,,,,,,,,,,,,,97.68833333333335,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,75.35416344207526,-46.00904171443514,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5739.0,-6.984961004723814,False,False,False,False,3007.158762510066,False,False,False,False
2024-12-31 15:00:00+00:00,97.18,97.83,97.07,97.7,3762.0,,,,,,,,,,,,,,,,,,,,97.63305700382344,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,81.39170985187037,-35.41006226471231,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1977.0,23.774495755039347,False,False,False,False,3018.8617274323906,False,False,False,False
2024-12-31 16:00:00+00:00,97.765,97.765,97.21,97.21,2729.0,,,,,,,,,,,,,,,,,,,,97.5841296379977,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,69.17669207365412,-35.41006226471231,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-752.0,11.746984192945714,False,False,False,False,3014.367747162121,False,False,False,False
2024-12-31 17:00:00+00:00,97.15,97.245,96.72,97.155,2431.0,,,,,,,,,,,,,,,,,,,,97.4999244594394,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,60.11220818762525,-35.41006226471231,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3183.0,-37.78397680229375,False,False,False,False,3005.3232859658087,False,False,False,False
2024-12-31 18:00:00+00:00,97.045,97.12,96.46,96.735,2672.0,,,,,,,,,,,,,,,,,,,,97.08286305605426,"rgba(239, 83, 80, 1.0)",0.0,0.0,,96.77166666666668,,49.2182050527196,-35.41006226471231,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5855.0,-127.97337251078531,False,False,False,False,3000.155483082618,False,False,False,False
