date,Open,High,Low,Close,Volume,aVWAP_OB_bull_417,aVWAP_OB_bull_400,aVWAP_OB_bull_371,aVWAP_OB_bull_367,aVWAP_OB_bull_216,aVWAP_OB_bull_172,aVWAP_OB_bull_121,aVWAP_OB_bull_87,aVWAP_OB_bull_85,aVWAP_OB_bull_59,aVWAP_OB_bull_47,aVWAP_OB_bear_332,aVWAP_OB_bear_109,aVWAP_OB_bear_35,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-08 17:00:00+00:00,4.48,4.495,4.385,4.425,7030.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7030.0,False,False,False,False
2023-11-09 17:00:00+00:00,4.33,4.385,4.27,4.295,8704.0,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8704.0,-134.94573643410854,False,False,False,False,7055.9534883720935,False,False,False,False
2023-11-10 17:00:00+00:00,4.295,4.345,4.27,4.345,5538.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,10.067114093959711,-65.10067114093957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3166.0,-181.93882579171927,False,False,False,False,7032.419325761673,False,False,False,False
2023-11-13 17:00:00+00:00,4.32,4.345,4.3,4.31,3810.0,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,14.844245722642045,-59.7945412657295,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6976.0,-287.27310756239024,False,False,False,False,6982.45933621498,False,False,False,False
2023-11-14 17:00:00+00:00,4.665,4.685,4.605,4.665,12671.0,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,35.335679783622034,-40.0281402535349,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5695.0,-194.52468729010513,False,False,False,False,7070.653765110872,False,False,False,False
2023-11-15 17:00:00+00:00,4.795,4.815,4.7,4.73,5291.0,,,,,,,,,,,,,,,4.748333333333333,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,49.97492555704804,-26.302287407187862,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10986.0,-21.18321927010348,False,False,False,False,7043.062233868843,False,False,False,False
2023-11-16 17:00:00+00:00,4.67,4.695,4.545,4.605,8943.0,,,,,,,,,,,,,,,4.664562081401339,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,54.14887320551964,-22.079217478324523,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2043.0,10.819621338735335,False,False,False,False,7072.518633343744,False,False,False,False
2023-11-17 17:00:00+00:00,4.68,4.705,4.645,4.66,3643.0,,,,,,,,,,,,,,,4.665670228039753,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,58.11589236289061,-17.428338349886175,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5686.0,98.80691403115803,False,False,False,False,7019.347801819035,False,False,False,False
2023-11-20 17:00:00+00:00,4.695,4.71,4.635,4.675,6731.0,,,,,,,,,,,,,,,4.667766309059385,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,61.08024219916846,-13.30098388724192,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12417.0,289.78665179811685,False,False,False,False,7014.877293263702,False,False,False,False
2023-11-21 17:00:00+00:00,4.5,4.58,4.485,4.56,2973.0,,,,,,,,,,,,,,,4.59792024702996,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,58.68064778668711,-13.30098388724192,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9444.0,431.71244014233207,False,False,False,False,6952.212529027055,False,False,False,False
