date,Open,High,Low,Close,Volume,aVWAP_OB_bull_879,aVWAP_OB_bull_768,aVWAP_OB_bull_753,aVWAP_OB_bull_647,aVWAP_OB_bull_628,aVWAP_OB_bull_569,aVWAP_OB_bull_533,aVWAP_OB_bull_522,aVWAP_OB_bull_513,aVWAP_OB_bull_507,aVWAP_OB_bull_497,aVWAP_OB_bull_485,aVWAP_OB_bull_434,aVWAP_OB_bear_889,aVWAP_OB_bear_810,aVWAP_OB_bear_744,aVWAP_OB_bear_725,aVWAP_OB_bear_563,aVWAP_OB_bear_287,aVWAP_OB_bear_270,aVWAP_OB_bear_147,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-30 15:00:00+00:00,5.105,5.11,5.08,5.095,2309.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2309.0,False,False,False,False
2024-12-30 16:00:00+00:00,5.095,5.12,5.095,5.12,6255.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6255.0,96.97674418604652,False,False,False,False,2370.178294573643,False,False,False,False
2024-12-30 17:00:00+00:00,5.12,5.135,5.12,5.135,4292.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10547.0,258.9926086172706,False,False,False,False,2399.9739799290905,False,False,False,False
2024-12-30 18:00:00+00:00,5.135,5.135,5.13,5.135,2060.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10547.0,418.4965991813439,False,False,False,False,2394.703065511585,False,False,False,False
2024-12-30 19:00:00+00:00,5.135,5.145,5.135,5.145,452.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10999.0,582.535411597137,False,False,False,False,2364.5836381393124,False,False,False,False
2024-12-30 20:00:00+00:00,5.145,5.15,5.14,5.145,1235.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10999.0,744.0309866111348,False,False,False,False,2347.070713516998,False,False,False,False
2024-12-31 15:00:00+00:00,5.165,5.17,5.145,5.145,920.0,,,,,,,,,,,,,,,,,,,,,,5.153333333333333,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10999.0,903.0227542605746,False,False,False,False,2324.9455861756487,False,False,False,False
2024-12-31 16:00:00+00:00,5.15,5.15,5.13,5.135,216.0,,,,,,,,,,,,,,,,,,,,,,5.150481220657277,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,91.1533411871754,42.03800706845786,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10783.0,1056.2006960549843,False,False,False,False,2292.248755382228,False,False,False,False
2024-12-31 17:00:00+00:00,5.135,5.135,5.13,5.13,644.0,,,,,,,,,,,,,,,,,,,,,,5.143674157303371,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,82.07485746664926,34.39817124875381,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10139.0,1197.0192899145968,False,False,False,False,2266.694511112736,False,False,False,False
2024-12-31 18:00:00+00:00,5.13,5.135,5.12,5.125,386.0,,,,,,,,,,,,,,,,,,,,,,5.140643274853801,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,73.30601265406588,27.33401302267073,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9753.0,1329.670153636851,False,False,False,False,2237.53645667688,False,False,False,False
