date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_108,Gap_Up_aVWAP_103,Gap_Up_aVWAP_47,Gap_Down_aVWAP_2,aVWAP_OB_bull_171,aVWAP_OB_bull_137,aVWAP_OB_bull_123,aVWAP_OB_bull_95,aVWAP_OB_bull_63,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,171.4321648035,173.8514569225,169.3692025315,170.7851448182,1622973,,,,,,,,,,#000000,1.0,164.24529,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1622973.0,False,False,False,False
2022-01-07 00:00:00+00:00,160.8172862039,171.9197740678,160.7891549002,171.6290839294,2499977,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2499977,-185183.48148148146,False,False,False,False,1687936.2592592593,False,False,False,False
2022-01-14 00:00:00+00:00,150.0898823895,160.6766296854,148.3832499645,158.8199636406,3421324,,,,153.0499206798,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5921301,-610081.0754458162,False,False,False,False,1816335.3511659808,False,False,False,False
2022-01-21 00:00:00+00:00,146.8454053617,153.521901442,146.6766175394,148.1300682311,3064419,,,,151.1433100803432,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8985720,-1230498.7735609408,False,False,False,False,1908785.9918203526,False,False,False,False
2022-01-28 00:00:00+00:00,144.5480155588,148.3363644583,139.0061487281,144.6980491786,4114635,,,,148.35640395071297,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13100355,-2109747.382926797,False,False,False,False,2072182.2146484747,False,False,False,False
2022-02-04 00:00:00+00:00,140.5439933309,149.4522395054,137.9465362884,144.2760796229,4359787,,,,146.6927047789607,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17460142,-3246813.650858145,False,False,False,False,2241634.4209708096,False,False,False,False
2022-02-11 00:00:00+00:00,135.6116380805,142.3068883633,134.856781431,140.2814344962,3036175,,,,145.15727964233082,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-20496317,-4524554.639683467,False,False,False,False,2300489.2786766756,False,False,False,False
2022-02-18 00:00:00+00:00,133.5111674036,139.0624113355,132.0774086245,134.8145844754,4328138,,,,143.16549139321882,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24824455,-6028250.962669877,False,False,False,False,2450685.480256181,False,False,False,False
2022-02-25 00:00:00+00:00,139.0155258293,139.081165538,129.0080020768,132.9485413294,2901412,,,,142.30701119255312,,,,,,"rgba(239, 83, 80, 0.5)",-1.0,129.48474,,135.7015644813667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.809670701811622,-45.453358164693704,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-21923043,-7205642.965435072,False,False,False,False,2484072.6298668343,False,False,False,False
2022-03-04 00:00:00+00:00,138.2559806292,140.5158620271,135.0396349051,137.3557789105,2942724,,,,141.85050068150005,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,136.82726350598426,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.128352589044514,-42.51343834304785,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24865767,-8513800.30132877,False,False,False,False,2518046.805432254,False,False,False,False
2022-03-11 00:00:00+00:00,135.592883878,140.1782863826,134.6926821594,138.4247684514,2924339,,,,141.37749530077105,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,136.82526935156824,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.106521731706025,-40.92341204852678,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-27790106,-9941674.797526639,False,False,False,False,2548142.5235483833,False,False,False,False
2022-03-18 00:00:00+00:00,144.6660815798,144.9580698947,133.3821460545,135.9817839552,2713453,,,,141.34736433269228,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,137.8123536999894,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.19436607601413,-34.504263344589404,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25076653,-11062784.294006146,False,False,False,False,2560387.744026281,False,False,False,False
2022-03-25 00:00:00+00:00,143.8937253919,144.2893224638,141.3694393145,143.6488319665,2002981,,,,141.45010475686536,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,138.61025532037553,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.048827033017808,-30.400709736133777,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-27079634,-12249217.605561247,False,False,False,False,2519098.35557989,False,False,False,False
2022-04-01 00:00:00+00:00,147.2280435688,149.7617486242,143.4039385411,143.4039385411,2064312,,,,141.74158774726993,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,139.69724702961562,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.172437842690073,-26.093935819329573,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25015322,-13194854.968112266,False,False,False,False,2485410.477388787,False,False,False,False
2022-04-08 00:00:00+00:00,151.4948405579,152.1164930994,145.8340348395,147.0585019666,2434819,,,,142.22926622312252,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,145.441103231944,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67974869888201,-21.462159683218687,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-22580503,-13890088.155659504,False,False,False,False,2481662.9605451734,False,False,False,False
2022-04-15 00:00:00+00:00,144.6001487345,151.2876230441,143.7524407234,151.202852243,1559809,,,,142.3901140773001,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,145.02165674570048,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.52721621894977,-20.32133949474636,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24140312,-14649363.995981023,False,False,False,False,2413377.481986271,False,False,False,False
