date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_444,Gap_Up_aVWAP_442,Gap_Up_aVWAP_439,Gap_Up_aVWAP_438,Gap_Up_aVWAP_436,Gap_Up_aVWAP_432,Gap_Up_aVWAP_423,Gap_Up_aVWAP_421,Gap_Up_aVWAP_420,Gap_Up_aVWAP_419,Gap_Down_aVWAP_445,Gap_Down_aVWAP_428,Gap_Down_aVWAP_427,Gap_Down_aVWAP_426,Gap_Down_aVWAP_418,Gap_Down_aVWAP_412,Gap_Down_aVWAP_402,Gap_Down_aVWAP_396,Gap_Down_aVWAP_395,Gap_Down_aVWAP_393,aVWAP_OB_bull_405,aVWAP_OB_bull_235,aVWAP_OB_bear_169,aVWAP_OB_bear_114,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-07 17:00:00+00:00,2.445,2.455,2.28,2.295,13032.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,13032.0,False,False,False,False
2023-12-08 17:00:00+00:00,2.355,2.405,2.34,2.365,18308.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,18308.0,283.84496124031006,False,False,False,False,13113.798449612403,False,False,False,False
2023-12-11 17:00:00+00:00,2.28,2.335,2.255,2.325,55434.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,86.95652173913047,4.34782608695663,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-37126.0,-296.1526350579893,False,False,False,False,13769.925605432365,False,False,False,False
2023-12-12 17:00:00+00:00,2.225,2.295,2.205,2.265,11937.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,70.19141820251909,4.34782608695663,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-49063.0,-1052.2277880028266,False,False,False,False,13741.50815418535,False,False,False,False
2023-12-13 17:00:00+00:00,2.215,2.385,2.205,2.365,48564.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,68.03338970444904,4.34782608695663,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-499.0,-1043.650612995031,False,False,False,False,14281.391748694105,False,False,False,False
2023-12-14 17:00:00+00:00,2.415,2.51,2.405,2.475,23843.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,70.77705338926336,4.34782608695663,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,23344.0,-665.5475027160383,False,False,False,False,14429.633737086442,False,False,False,False
2023-12-15 17:00:00+00:00,2.385,2.385,2.295,2.36,23579.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,65.2560910462708,4.34782608695663,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-235.0,-658.8723476351694,False,False,False,False,14571.484376821536,False,False,False,False
2023-12-18 17:00:00+00:00,2.33,2.415,2.33,2.365,16401.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,61.78827651609141,4.34782608695663,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,16166.0,-398.02161356330635,False,False,False,False,14599.848960126628,False,False,False,False
2023-12-19 17:00:00+00:00,2.39,2.445,2.36,2.39,83219.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,60.570997416690346,4.34782608695663,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,99385.0,1149.001977344652,False,False,False,False,15663.71176694637,False,False,False,False
2023-12-20 17:00:00+00:00,2.32,2.375,2.185,2.195,47624.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,52.209640763493795,25.51214637604994,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,51761.0,1933.6841172307813,False,False,False,False,16159.220111644874,False,False,False,False
2023-12-21 17:00:00+00:00,2.245,2.25,2.215,2.25,74428.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,49.001310582917796,20.706884966025342,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,126189.0,3860.1231231651877,False,False,False,False,17062.61204789844,False,False,False,False
2023-12-22 17:00:00+00:00,2.245,2.26,2.19,2.195,10863.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,45.29899792434355,15.484544611137125,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,115326.0,5588.276253038595,False,False,False,False,16966.494031651953,False,False,False,False
2023-12-25 17:00:00+00:00,2.195,2.195,2.195,2.195,0.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,42.83078948529405,11.48291742287988,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,115326.0,7289.63631113102,False,False,False,False,16703.447612556574,False,False,False,False
2023-12-26 17:00:00+00:00,2.215,2.235,2.125,2.13,11441.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,39.398725322031325,6.666586558947046,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,103885.0,8787.238848942943,False,False,False,False,16621.85927747818,False,False,False,False
