date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_858,Gap_Up_aVWAP_846,Gap_Up_aVWAP_822,Gap_Up_aVWAP_798,Gap_Up_aVWAP_786,Gap_Up_aVWAP_744,Gap_Up_aVWAP_738,Gap_Up_aVWAP_672,Gap_Up_aVWAP_660,Gap_Up_aVWAP_642,Gap_Down_aVWAP_894,Gap_Down_aVWAP_876,Gap_Down_aVWAP_870,Gap_Down_aVWAP_864,Gap_Down_aVWAP_852,Gap_Down_aVWAP_792,Gap_Down_aVWAP_780,Gap_Down_aVWAP_732,Gap_Down_aVWAP_714,Gap_Down_aVWAP_678,aVWAP_OB_bear_831,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,3.365,3.425,3.345,3.425,16034.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,16034.0,False,False,False,False
2025-01-06 16:00:00+00:00,3.425,3.445,3.39,3.39,22731.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-22731.0,-352.4186046511628,False,False,False,False,16137.82945736434,False,False,False,False
2025-01-06 17:00:00+00:00,3.395,3.43,3.385,3.43,13918.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.750000000000078,-78.12500000000011,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8813.0,-483.5904092302145,False,False,False,False,16103.413496785046,False,False,False,False
2025-01-06 18:00:00+00:00,3.425,3.495,3.405,3.435,13223.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.31900452488698,-64.03789592760191,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,4410.0,-407.7207904824593,False,False,False,False,16058.755923191478,False,False,False,False
2025-01-06 19:00:00+00:00,3.435,3.455,3.405,3.405,6015.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.804668068808645,-59.6149390095656,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1605.0,-426.28325884707226,False,False,False,False,15903.038777095486,False,False,False,False
2025-01-06 20:00:00+00:00,3.405,3.435,3.395,3.415,12133.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6784810480099,-53.111855285716146,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,10528.0,-256.44940987269905,False,False,False,False,15844.588563497105,False,False,False,False
2025-01-07 15:00:00+00:00,3.505,3.505,3.38,3.495,35232.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.16226841925696,-39.4220999216699,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,45760.0,456.98391431137384,False,False,False,False,16145.168585768468,False,False,False,False
2025-01-07 16:00:00+00:00,3.495,3.505,3.455,3.455,5860.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.48014473897862,-34.34081698489185,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,39900.0,1068.5035435468562,False,False,False,False,15985.708607694538,False,False,False,False
2025-01-07 17:00:00+00:00,3.455,3.48,3.42,3.435,6800.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.937474158832295,-31.696335919181905,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,33100.0,1565.1158917089203,False,False,False,False,15843.294520753536,False,False,False,False
2025-01-07 18:00:00+00:00,3.435,3.475,3.415,3.435,8235.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.57569377206807,-28.70916488815397,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,33100.0,2054.0288236204096,False,False,False,False,15725.336466168208,False,False,False,False
