date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_445,Gap_Up_aVWAP_438,Gap_Up_aVWAP_437,Gap_Up_aVWAP_435,Gap_Up_aVWAP_430,Gap_Up_aVWAP_427,Gap_Up_aVWAP_413,Gap_Up_aVWAP_412,Gap_Up_aVWAP_405,Gap_Up_aVWAP_404,Gap_Down_aVWAP_439,Gap_Down_aVWAP_429,Gap_Down_aVWAP_425,Gap_Down_aVWAP_419,Gap_Down_aVWAP_418,Gap_Down_aVWAP_417,Gap_Down_aVWAP_416,Gap_Down_aVWAP_415,Gap_Down_aVWAP_414,Gap_Down_aVWAP_393,aVWAP_OB_bull_337,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-22 17:00:00+00:00,12.31,12.315,12.045,12.05,21803.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,21803.0,False,False,False,False
2023-12-25 17:00:00+00:00,12.05,12.05,12.05,12.05,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,21464.96899224806,False,False,False,False
2023-12-26 17:00:00+00:00,12.1,12.23,12.02,12.165,6407.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,6407.0,99.33333333333333,False,False,False,False,21231.512108647315,False,False,False,False
2023-12-27 17:00:00+00:00,12.095,12.12,11.915,11.995,13842.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.18367346938766,-22.857142857143202,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-7435.0,-17.4780361757106,False,False,False,False,21116.94602944348,False,False,False,False
2023-12-28 17:00:00+00:00,12.215,12.255,12.165,12.225,8505.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45020205309424,-22.857142857143202,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1070.0,-0.6179115838391169,False,False,False,False,20921.41198247536,False,False,False,False
2023-12-29 17:00:00+00:00,11.915,11.955,11.865,11.865,11073.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.49600058977076,-22.857142857143202,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-10003.0,-155.69360287711294,False,False,False,False,20768.723424607528,False,False,False,False
2024-01-01 17:00:00+00:00,11.865,11.865,11.865,11.865,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.85986628088843,-22.857142857143202,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-10003.0,-308.36501988677014,False,False,False,False,20446.72771259811,False,False,False,False
2024-01-02 17:00:00+00:00,11.82,11.865,11.515,11.56,10925.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.06332205584751,-22.857142857143202,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-20928.0,-628.0492831443396,False,False,False,False,20299.10402713147,False,False,False,False
2024-01-03 17:00:00+00:00,11.155,11.365,11.14,11.255,12772.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,11.253333333333336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.318158009840715,-22.857142857143202,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-33700.0,-1140.7927051110942,False,False,False,False,20182.404739889123,False,False,False,False
2024-01-04 17:00:00+00:00,11.41,11.455,11.305,11.33,20096.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,11.320589022757698,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.40124017787232,-22.857142857143202,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-13604.0,-1334.0207251868912,False,False,False,False,20181.065131518746,False,False,False,False
2024-01-05 17:00:00+00:00,11.295,11.425,11.24,11.405,15162.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,11.331977930460129,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.646110438002147,-22.857142857143202,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,1558.0,-1289.1831945638387,False,False,False,False,20103.250168239385,False,False,False,False
2024-01-08 17:00:00+00:00,11.75,11.995,11.705,11.945,16164.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,11.470389132940774,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.90898061546598,-22.857142857143202,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,17722.0,-994.436168291531,False,False,False,False,20042.17652222017,False,False,False,False
2024-01-09 17:00:00+00:00,12.14,12.145,11.77,11.8,25535.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,11.594070311716392,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55482667459926,-22.857142857143202,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-7813.0,-1100.1503362249955,False,False,False,False,20127.336576139234,False,False,False,False
