date,Close,High,Low,Open,Volume,aVWAP_OB_bull_183,aVWAP_OB_bull_27,aVWAP_OB_bear_159,aVWAP_OB_bear_151,aVWAP_OB_bear_133,aVWAP_OB_bear_125,aVWAP_OB_bear_94,aVWAP_OB_bear_44,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.4748732708,12.6961862321,11.2561306508,11.6571587874,9721446,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,10.221483,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9721446.0,False,False,False,False
2022-01-07 00:00:00+00:00,12.7326433354,12.8967003003,11.406516202,11.5751303049,12916571,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12916571,956783.037037037,False,False,False,False,9958121.925925925,False,False,False,False
2022-01-14 00:00:00+00:00,14.4370129157,14.5144842603,12.4774436121,12.6050434738,13010342,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25926913,2806422.2935528117,False,False,False,False,10184212.301783264,False,False,False,False
2022-01-21 00:00:00+00:00,13.024300162,14.8289267764,12.914928852,14.6557555356,10255565,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,90.15318676767603,40.69168436631875,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15671348,3759379.753289641,False,False,False,False,10189497.686836354,False,False,False,False
2022-01-28 00:00:00+00:00,14.1818131925,14.6648698115,12.2495867164,12.5047864396,10581814,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,85.40692620517282,36.608858127309475,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26253162,5425585.845638556,False,False,False,False,10218558.154478107,False,False,False,False
2022-02-04 00:00:00+00:00,15.0385551205,15.4760403604,13.9083849175,14.2456131233,10945233,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,83.19263101297778,35.00481892107926,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37198395,7779127.264480144,False,False,False,False,10272385.920813061,False,False,False,False
2022-02-11 00:00:00+00:00,15.9955540827,16.0684682894,13.7944564696,14.9929837414,10850388,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,82.6128869855713,34.89569144836179,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48048783,10762064.726370502,False,False,False,False,10315200.889641723,False,False,False,False
2022-02-18 00:00:00+00:00,15.5033831879,16.5678394622,14.8836124314,15.7038972562,10168596,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,80.35297933379707,33.08401947624665,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37880187,12770814.524417132,False,False,False,False,10304341.268186782,False,False,False,False
2022-02-25 00:00:00+00:00,16.5059535293,16.519624943,15.0750122239,16.1869538752,9349370,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,79.80852150788223,32.86984462769975,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47229557,15323313.9670529,False,False,False,False,10233602.6557285,False,False,False,False
2022-03-04 00:00:00+00:00,17.9551233863,18.1374089029,16.5059535293,16.5059535293,12677150,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,80.56793263174855,32.86984462769975,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,59906707,18625787.525048982,False,False,False,False,10414606.162711574,False,False,False,False
