date,Open,High,Low,Close,Volume,aVWAP_OB_bull_881,aVWAP_OB_bull_825,aVWAP_OB_bull_784,aVWAP_OB_bull_678,aVWAP_OB_bull_564,aVWAP_OB_bull_556,aVWAP_OB_bull_531,aVWAP_OB_bull_522,aVWAP_OB_bull_481,aVWAP_OB_bull_461,aVWAP_OB_bull_432,aVWAP_OB_bear_886,aVWAP_OB_bear_831,aVWAP_OB_bear_751,aVWAP_OB_bear_669,aVWAP_OB_bear_407,aVWAP_OB_bear_372,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-30 15:00:00+00:00,135.095,135.94,134.78,135.87,4889.0,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4889.0,False,False,False,False
2024-12-30 16:00:00+00:00,135.85,136.71,135.815,136.36,5035.0,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5035.0,78.06201550387597,False,False,False,False,4891.263565891472,False,False,False,False
2024-12-30 17:00:00+00:00,136.36,137.12,136.36,136.655,3821.0,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8856.0,214.15407727900964,False,False,False,False,4874.670332311759,False,False,False,False
2024-12-30 18:00:00+00:00,136.59,136.75,136.38,136.4,3614.0,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,90.60132414169689,41.541191727527206,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5242.0,292.10517685607925,False,False,False,False,4855.125055841809,False,False,False,False
2024-12-30 19:00:00+00:00,136.37,136.37,135.9,135.92,6729.0,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,75.38727819113518,28.412470923519848,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1487.0,264.52215085831057,False,False,False,False,4884.177380557439,False,False,False,False
2024-12-30 20:00:00+00:00,135.88,136.145,135.25,135.625,15824.0,,,,,,,,,,,,,,,,,,135.67333333333335,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,62.166415259453395,17.72729466950564,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17311.0,-7.966564658872528,False,False,False,False,5053.787033572053,False,False,False,False
2024-12-31 15:00:00+00:00,138.34,139.44,138.0,138.775,12735.0,,,,,,,,,,,,,,,,,,137.88920416214387,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,68.59856145357577,10.994063126806118,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4576.0,-78.78878846261094,False,False,False,False,5172.875606694966,False,False,False,False
2024-12-31 16:00:00+00:00,138.87,139.0,138.41,138.515,5430.0,,,,,,,,,,,,,,,,,,138.00268924365898,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,71.203598584499,12.33486037100868,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10006.0,-232.69903980427588,False,False,False,False,5176.86203139737,False,False,False,False
2024-12-31 17:00:00+00:00,138.455,138.77,138.0,138.73,7039.0,,,,,,,,,,,,,,,,,,138.07673095056606,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,73.36890928383505,13.8292760014495,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2967.0,-275.09130275304676,False,False,False,False,5205.732387499736,False,False,False,False
2024-12-31 18:00:00+00:00,138.73,139.3,138.43,139.08,5929.0,,,,,,,,,,,,,,,,,,138.19447857198872,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,75.48725283441166,15.687997684170938,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2962.0,-224.90384069486,False,False,False,False,5216.945838856329,False,False,False,False
2024-12-31 19:00:00+00:00,138.96,139.59,138.79,139.51,5294.0,,,,,,,,,,,,,,,,,,138.3191634284376,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,77.652951809558,17.862938972384953,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8256.0,-93.4169594437769,False,False,False,False,5218.140477013595,False,False,False,False
