date,Close,High,Low,Open,Volume,aVWAP_OB_bull_845,aVWAP_OB_bull_826,aVWAP_OB_bull_723,aVWAP_OB_bull_651,aVWAP_OB_bull_487,aVWAP_OB_bull_217,aVWAP_OB_bull_209,aVWAP_OB_bull_36,aVWAP_OB_bear_881,aVWAP_OB_bear_788,aVWAP_OB_bear_739,aVWAP_OB_bear_697,aVWAP_OB_bear_678,aVWAP_OB_bear_668,aVWAP_OB_bear_629,aVWAP_OB_bear_621,aVWAP_OB_bear_173,aVWAP_OB_bear_144,Peaks_Valleys_avg,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,51.5157328118,51.9561191664,51.0090517371,51.9229718063,2312556,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,56.360565,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2312556.0,False,False,False,False
2022-01-04 00:00:00+00:00,50.2608684681,50.3413691996,49.0258925404,49.1859469359,5726352,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5726352,-224562.82352941175,False,False,False,False,2446430.3529411764,False,False,False,False
2022-01-05 00:00:00+00:00,48.5561470955,49.8536294735,48.5561470955,49.6192302848,2874406,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8600758,-553041.0657439446,False,False,False,False,2463213.7116493657,False,False,False,False
2022-01-06 00:00:00+00:00,48.7076778842,49.2285649702,47.4812255633,47.6943157349,6665854,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,1.844547343038542,-48.309164935548004,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1934904,-607231.7690481036,False,False,False,False,2628023.1347219395,False,False,False,False
2022-01-07 00:00:00+00:00,48.0589366952,48.2767622039,47.6090796663,47.6138150034,7812334,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,2.692927968472707,-47.63395754795771,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9747238,-965663.385948178,False,False,False,False,2831329.4431642164,False,False,False,False
2022-01-10 00:00:00+00:00,48.2009968095,48.2625561924,47.1828993231,47.4149308433,2980216,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,4.770227445708223,-45.84094540020478,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6767022,-1193167.6453227592,False,False,False,False,2837168.1316675805,False,False,False,False
2022-01-11 00:00:00+00:00,47.9310825922,47.9737006265,47.1923699974,47.6848450606,2404460,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,5.886770071677361,-44.99789272615395,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9171482,-1506042.7180552,False,False,False,False,2820199.185327675,False,False,False,False
2022-01-12 00:00:00+00:00,47.7085217464,47.8742585465,47.3817834833,47.4149308433,2445270,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,6.42645295602173,-44.66853302661957,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11616752,-1902541.1212687218,False,False,False,False,2805496.0800207076,False,False,False,False
2022-01-13 00:00:00+00:00,47.145016626,47.7700811293,46.9640320403,47.7227277578,1931300,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,6.350971491325696,-44.66853302661957,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13548052,-2359227.8223954383,False,False,False,False,2771213.8808042095,False,False,False,False
2022-01-14 00:00:00+00:00,45.6107673907,46.4536574027,45.1575956258,45.9564470023,4927778,,,,,,,,,,,,,,,,,,,45.74067347306666,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,5.592700583832432,-44.66853302661957,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18475830,-2991251.4372034604,False,False,False,False,2855785.0227334565,False,False,False,False
