date,Open,High,Low,Close,Volume,aVWAP_peak_834,aVWAP_peak_802,aVWAP_peak_793,aVWAP_peak_756,aVWAP_peak_722,aVWAP_peak_689,aVWAP_peak_688,aVWAP_peak_618,aVWAP_peak_559,aVWAP_peak_538,aVWAP_peak_477,aVWAP_peak_430,aVWAP_peak_380,aVWAP_peak_362,aVWAP_peak_329,aVWAP_peak_299,aVWAP_peak_265,aVWAP_peak_209,aVWAP_peak_208,aVWAP_peak_186,aVWAP_peak_114,aVWAP_peak_79,aVWAP_valley_822,aVWAP_valley_765,aVWAP_valley_745,aVWAP_valley_706,aVWAP_valley_678,aVWAP_valley_658,aVWAP_valley_569,aVWAP_valley_567,aVWAP_valley_566,aVWAP_valley_548,aVWAP_valley_546,aVWAP_valley_510,aVWAP_valley_496,aVWAP_valley_450,aVWAP_valley_419,aVWAP_valley_395,aVWAP_valley_375,aVWAP_valley_324,aVWAP_OB_bull_510,aVWAP_OB_bull_450,aVWAP_OB_bear_802,aVWAP_OB_bear_114,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-23 15:00:00+00:00,10.185,10.305,10.17,10.21,877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,877.0,False,False,False,False
2025-01-23 16:00:00+00:00,10.21,10.24,10.055,10.085,1797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1797.0,-27.86046511627907,False,False,False,False,891.2635658914729,False,False,False,False
2025-01-23 17:00:00+00:00,10.095,10.115,10.05,10.065,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2194.0,-61.44402379664683,False,False,False,False,883.6005648698996,False,False,False,False
2025-01-23 18:00:00+00:00,10.065,10.085,10.025,10.035,901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3095.0,-108.47589939669882,False,False,False,False,883.8703235540871,False,False,False,False
2025-01-23 19:00:00+00:00,10.035,10.055,10.01,10.01,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3701.0,-164.1739474680678,False,False,False,False,879.5622565222408,False,False,False,False
2025-01-23 20:00:00+00:00,10.01,10.035,9.915,9.955,8578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12279.0,-352.0007079724388,False,False,False,False,998.9178804521285,False,False,False,False
2025-01-24 15:00:00+00:00,9.74,9.795,9.685,9.735,1107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13386.0,-554.0782163759668,False,False,False,False,1000.5935722280644,False,False,False,False
2025-01-24 16:00:00+00:00,9.735,9.805,9.725,9.775,2248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.435922690333328,-46.9076695787,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11138.0,-718.1700269747889,False,False,False,False,1019.9332067671642,False,False,False,False
2025-01-24 17:00:00+00:00,9.775,9.805,9.735,9.745,2105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.451619590985581,-45.29969772953298,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13243.0,-912.3534374092883,False,False,False,False,1036.7559477475181,False,False,False,False
2025-01-24 18:00:00+00:00,9.745,9.795,9.725,9.785,2555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.028633387667144,-41.41127665264937,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10688.0,-1063.9138492324,False,False,False,False,1060.2946152243007,False,False,False,False
