date,Open,High,Low,Close,Volume,aVWAP_peak_858,aVWAP_peak_836,aVWAP_peak_798,aVWAP_valley_841,aVWAP_valley_823,aVWAP_valley_771,aVWAP_valley_739,aVWAP_valley_707,aVWAP_valley_704,aVWAP_valley_678,aVWAP_valley_658,aVWAP_valley_623,aVWAP_valley_551,aVWAP_valley_508,aVWAP_valley_478,aVWAP_valley_477,aVWAP_valley_450,aVWAP_valley_408,aVWAP_valley_368,aVWAP_valley_343,aVWAP_valley_328,aVWAP_OB_bull_478,aVWAP_OB_bear_798,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-14 14:00:00+00:00,6.94,7.085,6.94,7.015,84193.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,84193.0,False,False,False,False
2025-04-14 15:00:00+00:00,7.015,7.02,6.895,6.895,55524.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-55524.0,-860.8372093023256,False,False,False,False,83748.51937984495,False,False,False,False
2025-04-14 16:00:00+00:00,6.895,6.945,6.875,6.915,30566.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.263157894736939,-57.89473684210541,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24958.0,-1234.4366324139173,False,False,False,False,82923.9841956613,False,False,False,False
2025-04-14 17:00:00+00:00,6.915,6.97,6.915,6.935,24623.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.005978633735232,-50.39988238753325,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-335.0,-1220.4918784230038,False,False,False,False,82020.09296782158,False,False,False,False
2025-04-14 18:00:00+00:00,6.935,6.94,6.895,6.915,63439.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.7900554075648,-46.61667727226863,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-63774.0,-2190.3137097652825,False,False,False,False,81732.01400708016,False,False,False,False
2025-04-14 19:00:00+00:00,6.915,6.965,6.91,6.91,99081.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.994470886548477,-44.09699189547155,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-162855.0,-4681.2390786061305,False,False,False,False,82000.99053410217,False,False,False,False
2025-04-15 14:00:00+00:00,6.905,6.98,6.9,6.91,29024.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.464081205870926,-42.04891136219996,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-162855.0,-7133.545449480454,False,False,False,False,81179.64184365097,False,False,False,False
2025-04-15 15:00:00+00:00,6.915,6.94,6.885,6.92,20421.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.748712096922098,-38.22200292060363,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-142434.0,-9231.226915379983,False,False,False,False,80237.64739646259,False,False,False,False
2025-04-15 16:00:00+00:00,6.915,6.935,6.895,6.905,33952.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,24.60247130261663,-36.62773340242861,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-176386.0,-11822.773784908974,False,False,False,False,79520.04046008331,False,False,False,False
2025-04-15 17:00:00+00:00,6.905,6.915,6.885,6.9,13913.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,24.757412433953466,-35.565151596036145,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-190299.0,-14589.847059561547,False,False,False,False,78502.87704209753,False,False,False,False
