date,Open,High,Low,Close,Volume,aVWAP_peak_563,aVWAP_peak_549,aVWAP_valley_593,aVWAP_valley_567,aVWAP_valley_510,aVWAP_valley_456,aVWAP_valley_410,aVWAP_valley_370,aVWAP_valley_348,aVWAP_valley_297,aVWAP_valley_248,aVWAP_valley_186,aVWAP_valley_127,aVWAP_valley_83,aVWAP_valley_60,aVWAP_valley_23,aVWAP_OB_bull_593,aVWAP_OB_bull_510,aVWAP_OB_bull_186,aVWAP_OB_bull_127,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-03 14:00:00+00:00,14.97,15.435,14.97,15.385,10468.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10468.0,False,False,False,False
2025-04-03 15:00:00+00:00,15.385,15.515,15.32,15.45,3483.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3483.0,54.0,False,False,False,False,10359.70542635659,False,False,False,False
2025-04-03 16:00:00+00:00,15.455,15.545,15.295,15.345,5269.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,78.49829351535841,-25.255972696245557,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1786.0,25.472868217054263,False,False,False,False,10280.779760831681,False,False,False,False
2025-04-03 17:00:00+00:00,15.345,15.37,15.27,15.33,10123.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,63.052463683605765,-25.255972696245557,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11909.0,-159.5577188870861,False,False,False,False,10278.33356298933,False,False,False,False
2025-04-03 18:00:00+00:00,15.33,15.425,15.255,15.365,3077.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,57.22807112868318,-25.255972696245557,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8832.0,-294.0141883617049,False,False,False,False,10166.684980617403,False,False,False,False
2025-04-03 19:00:00+00:00,15.355,15.465,15.1,15.19,20738.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,45.343650997187986,-25.255972696245557,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29570.0,-747.9054412553219,False,False,False,False,10330.581337507056,False,False,False,False
2025-04-04 14:00:00+00:00,13.805,13.83,13.135,13.445,3669.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,31.270167092772116,-25.255972696245557,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33239.0,-1251.6433413908983,False,False,False,False,10227.301006692993,False,False,False,False
2025-04-04 15:00:00+00:00,13.42,13.79,13.415,13.475,2078.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.41330395872252,17.417093811308973,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31161.0,-1715.3542973383262,False,False,False,False,10100.955254651242,False,False,False,False
2025-04-04 16:00:00+00:00,13.475,13.58,13.41,13.48,3507.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.605354205759596,8.969883137795641,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27654.0,-2117.5038431160265,False,False,False,False,9998.723390238045,False,False,False,False
2025-04-04 17:00:00+00:00,13.48,13.535,13.305,13.535,8051.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.882248679920902,3.1353800181070994,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19603.0,-2388.596806788646,False,False,False,False,9968.52612837389,False,False,False,False
2025-04-04 18:00:00+00:00,13.555,13.605,13.235,13.365,6797.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.751866992580918,-2.343383214090224,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26400.0,-2760.866623737659,False,False,False,False,9919.355180647162,False,False,False,False
2025-04-04 19:00:00+00:00,13.395,13.555,13.335,13.4,15818.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.11139464139974,-6.498962510595142,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10582.0,-2882.124505540176,False,False,False,False,10010.807038311546,False,False,False,False
2025-04-07 14:00:00+00:00,13.43,14.0,13.35,13.69,1798.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.417818176244484,-6.498962510595142,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8784.0,-2973.6264511907157,False,False,False,False,9883.476696632297,False,False,False,False
2025-04-07 15:00:00+00:00,13.69,13.775,13.18,13.455,1266.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.620679898367374,-6.498962510595142,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10050.0,-3083.337669001712,False,False,False,False,9749.872406762028,False,False,False,False
