date,Open,High,Low,Close,Volume,aVWAP_peak_417,aVWAP_valley_403,aVWAP_valley_374,aVWAP_valley_320,aVWAP_OB_bull_374,aVWAP_OB_bull_320,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-01-16 17:00:00+00:00,5.795,5.795,5.76,5.78,10289.0,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10289.0,False,False,False,False
2024-01-17 17:00:00+00:00,5.825,5.835,5.785,5.835,18076.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18076.0,280.2480620155039,False,False,False,False,10409.728682170542,False,False,False,False
2024-01-18 17:00:00+00:00,5.825,5.88,5.805,5.88,16112.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34188.0,805.949642449372,False,False,False,False,10498.135989423712,False,False,False,False
2024-01-19 17:00:00+00:00,5.845,5.92,5.845,5.92,10820.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45008.0,1491.2527487679863,False,False,False,False,10503.12612912257,False,False,False,False
2024-01-22 17:00:00+00:00,6.005,6.02,5.98,5.995,18658.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,63666.0,2455.202318554529,False,False,False,False,10629.558282159429,False,False,False,False
2024-01-23 17:00:00+00:00,5.955,5.98,5.95,5.975,5178.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,96.38099650841448,46.74289685757303,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,58488.0,3323.927864003296,False,False,False,False,10545.037998715097,False,False,False,False
2024-01-24 17:00:00+00:00,6.105,6.105,6.08,6.085,17367.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,95.42256718893898,46.097450679540216,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,75855.0,4448.440610297818,False,False,False,False,10650.804851448196,False,False,False,False
2024-01-25 17:00:00+00:00,5.985,6.02,5.975,6.015,16205.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,87.82031828630575,39.428740538069576,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,59650.0,5304.27874037072,False,False,False,False,10736.916404138921,False,False,False,False
2024-01-26 17:00:00+00:00,6.01,6.015,5.98,5.98,53362.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,80.0499326519799,32.96852138424981,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6288.0,5319.530232768073,False,False,False,False,11397.770413377077,False,False,False,False
2024-01-29 17:00:00+00:00,5.925,5.925,5.895,5.91,36174.0,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.55277647493826,25.142843823145427,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29886.0,4773.708058616629,False,False,False,False,11781.898003867354,False,False,False,False
