date,Open,High,Low,Close,Volume,aVWAP_peak_853,aVWAP_peak_835,aVWAP_peak_796,aVWAP_peak_762,aVWAP_peak_734,aVWAP_valley_871,aVWAP_valley_816,aVWAP_valley_780,aVWAP_valley_745,aVWAP_valley_667,aVWAP_valley_630,aVWAP_valley_567,aVWAP_valley_528,aVWAP_valley_470,aVWAP_valley_438,aVWAP_valley_403,aVWAP_valley_360,aVWAP_valley_336,aVWAP_valley_298,aVWAP_OB_bull_871,aVWAP_OB_bull_567,aVWAP_OB_bull_438,aVWAP_OB_bull_298,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-11 15:00:00+00:00,232.815,233.44,231.55,231.615,123924.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,123924.0,False,False,False,False
2025-02-11 16:00:00+00:00,231.7,231.73,230.64,230.865,109187.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-109187.0,-1692.8217054263566,False,False,False,False,123695.51937984495,False,False,False,False
2025-02-11 17:00:00+00:00,230.855,231.41,230.13,231.3,87112.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.161875945537107,-69.74281391830567,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22075.0,-2008.8244696833121,False,False,False,False,123128.3330328706,False,False,False,False
2025-02-11 18:00:00+00:00,231.265,232.35,231.17,231.955,93625.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,30.021042887204175,-53.25337607625159,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,71550.0,-868.3775786804702,False,False,False,False,122670.91701685711,False,False,False,False
2025-02-11 19:00:00+00:00,231.955,232.5,231.44,232.435,63783.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.26238903776871,-39.34181440595759,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,135333.0,1243.2716861052736,False,False,False,False,121757.92605535545,False,False,False,False
2025-02-11 20:00:00+00:00,232.445,232.84,232.01,232.74,115651.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,55.12637174381543,-28.431123900139646,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,250984.0,5115.220962289688,False,False,False,False,121663.24503124141,False,False,False,False
2025-02-12 15:00:00+00:00,229.7,230.655,228.165,230.365,116358.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.789433742778286,-28.431123900139646,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,134626.0,7123.14001713791,False,False,False,False,121580.99317029193,False,False,False,False
2025-02-12 16:00:00+00:00,230.355,230.4,229.28,230.185,85248.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.38729339568907,-28.431123900139646,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,49378.0,7778.254125399338,False,False,False,False,121017.69095059748,False,False,False,False
2025-02-12 17:00:00+00:00,230.155,231.12,230.095,231.04,59972.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.307532107892115,-28.431123900139646,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,109350.0,9353.009875393145,False,False,False,False,120071.24612965797,False,False,False,False
2025-02-12 18:00:00+00:00,231.04,231.185,230.555,230.665,35473.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.579941875820225,-28.431123900139646,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,73877.0,10353.38181530953,False,False,False,False,118759.64541446947,False,False,False,False
