date,Open,High,Low,Close,Volume,aVWAP_peak_840,aVWAP_peak_810,aVWAP_peak_786,aVWAP_peak_770,aVWAP_peak_743,aVWAP_peak_695,aVWAP_peak_681,aVWAP_peak_657,aVWAP_peak_610,aVWAP_peak_583,aVWAP_peak_566,aVWAP_peak_551,aVWAP_peak_504,aVWAP_peak_477,aVWAP_peak_420,aVWAP_peak_406,aVWAP_peak_390,aVWAP_peak_373,aVWAP_peak_335,aVWAP_peak_240,aVWAP_peak_193,aVWAP_peak_174,aVWAP_peak_132,aVWAP_peak_114,aVWAP_peak_87,aVWAP_peak_54,aVWAP_valley_878,aVWAP_valley_846,aVWAP_valley_820,aVWAP_valley_792,aVWAP_valley_722,aVWAP_valley_624,aVWAP_valley_587,aVWAP_valley_558,aVWAP_valley_516,aVWAP_valley_492,aVWAP_valley_455,aVWAP_valley_452,aVWAP_valley_438,aVWAP_valley_404,aVWAP_valley_384,aVWAP_OB_bull_722,aVWAP_OB_bull_624,aVWAP_OB_bull_438,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,25.39,26.085,25.2,25.91,19722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,19722.0,False,False,False,False
2025-01-06 16:00:00+00:00,25.91,26.46,25.68,26.32,35205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35205.0,545.8139534883721,False,False,False,False,19962.04651162791,False,False,False,False
2025-01-06 17:00:00+00:00,26.33,26.765,26.115,26.765,14398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,49603.0,1306.3904813412655,False,False,False,False,19875.782224625924,False,False,False,False
2025-01-06 18:00:00+00:00,26.75,27.06,26.52,26.745,11374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,99.0984974958264,49.18864774624376,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,38229.0,1878.834039770083,False,False,False,False,19743.97164749994,False,False,False,False
2025-01-06 19:00:00+00:00,26.75,26.805,26.35,26.35,12152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.32406562464408,37.745749212430084,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26077.0,2253.999403494578,False,False,False,False,19626.266660716996,False,False,False,False
2025-01-06 20:00:00+00:00,26.335,26.675,26.27,26.59,21763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,80.47746552153995,33.279123112040864,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47840.0,2960.759102665205,False,False,False,False,19659.39430938805,False,False,False,False
2025-01-07 15:00:00+00:00,26.26,26.37,24.36,25.38,24605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.27582372183898,19.4687625504275,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23235.0,3275.0884189029534,False,False,False,False,19736.07036660684,False,False,False,False
2025-01-07 16:00:00+00:00,25.38,25.97,25.235,25.245,25499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,52.80428551740552,10.467080605669906,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2264.0,3189.2110790750003,False,False,False,False,19825.418112860996,False,False,False,False
2025-01-07 17:00:00+00:00,25.245,25.37,24.96,25.125,13979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,44.5657441660544,4.326589592115887,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16243.0,2887.936488701744,False,False,False,False,19734.775971576328,False,False,False,False
2025-01-07 18:00:00+00:00,25.125,25.36,24.78,24.87,5168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,37.90984340064191,-0.7114026976076744,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21411.0,2511.208791202492,False,False,False,False,19508.934483644913,False,False,False,False
