date,Open,High,Low,Close,Volume,aVWAP_peak_833,aVWAP_peak_811,aVWAP_peak_796,aVWAP_peak_719,aVWAP_peak_685,aVWAP_peak_671,aVWAP_peak_670,aVWAP_peak_669,aVWAP_peak_668,aVWAP_peak_667,aVWAP_peak_666,aVWAP_peak_665,aVWAP_peak_618,aVWAP_peak_581,aVWAP_peak_522,aVWAP_peak_509,aVWAP_peak_480,aVWAP_peak_461,aVWAP_peak_426,aVWAP_peak_403,aVWAP_peak_371,aVWAP_peak_361,aVWAP_peak_330,aVWAP_peak_281,aVWAP_valley_864,aVWAP_OB_bear_833,aVWAP_OB_bear_671,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-28 14:00:00+00:00,229.285,230.25,229.285,229.9,4660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4660.0,False,False,False,False
2025-03-28 15:00:00+00:00,229.9,230.13,229.58,229.855,20114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20114.0,-311.84496124031006,False,False,False,False,4899.596899224806,False,False,False,False
2025-03-28 16:00:00+00:00,229.855,230.015,229.32,229.625,4277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24391.0,-685.165194399375,False,False,False,False,4889.944234120546,False,False,False,False
2025-03-28 17:00:00+00:00,229.67,229.67,228.79,229.045,5813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30204.0,-1142.8215479745784,False,False,False,False,4904.255176227204,False,False,False,False
2025-03-28 18:00:00+00:00,229.045,229.17,228.08,228.52,6281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36485.0,-1690.7622991687708,False,False,False,False,4925.60005721593,False,False,False,False
2025-03-28 19:00:00+00:00,228.52,228.52,227.71,227.835,13023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-49508.0,-2432.1148216622782,False,False,False,False,5051.141141600179,False,False,False,False
2025-03-31 14:00:00+00:00,231.26,231.635,229.95,230.48,9026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.771412181978267,-31.30572903621956,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-40482.0,-3022.035522101623,False,False,False,False,5112.76686033506,False,False,False,False
2025-03-31 15:00:00+00:00,230.445,230.73,229.66,229.98,4683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,32.1884736791374,-22.276658419695035,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45165.0,-3675.4148163326054,False,False,False,False,5106.103808236842,False,False,False,False
2025-03-31 16:00:00+00:00,230.06,230.17,229.17,229.59,2779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.09197544523481,-18.313215709860224,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-47944.0,-4361.749470342952,False,False,False,False,5070.024679426969,False,False,False,False
2025-03-31 17:00:00+00:00,229.49,229.81,229.03,229.54,4112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.80721365997657,-15.9549314663969,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52056.0,-5101.1952149887975,False,False,False,False,5055.171583621899,False,False,False,False
