date,Close,High,Low,Open,Volume,aVWAP_peak_36,aVWAP_valley_42,aVWAP_valley_24,aVWAP_OB_bull_42,aVWAP_OB_bull_24,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,43.4096450717,43.4096450717,43.3751244792,43.3837546273,2290170,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2290170.0,False,False,False,False
2022-01-07 00:00:00+00:00,43.3664943311,43.4010149236,43.3664943311,43.3837546273,2420313,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2420313,-179282.44444444444,False,False,False,False,2299810.2222222225,False,False,False,False
2022-01-14 00:00:00+00:00,43.3492340348,43.3751244792,43.3492340348,43.3664943311,2585566,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5005879,-536808.1152263375,False,False,False,False,2320977.316872428,False,False,False,False
2022-01-21 00:00:00+00:00,43.3319737386,43.3493203363,43.3233435905,43.3406038867,2074673,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7080552,-1021529.8844688309,False,False,False,False,2302732.5526596555,False,False,False,False
2022-01-28 00:00:00+00:00,43.2890523433,43.3581214336,43.2890523433,43.3322205247,3612665,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10693217,-1737951.1522859544,False,False,False,False,2399764.585795977,False,False,False,False
2022-02-04 00:00:00+00:00,43.2717850707,43.3063196159,43.2631514344,43.2890523433,3904099,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14597316,-2690496.6965610688,False,False,False,False,2511196.764625905,False,False,False,False
2022-02-11 00:00:00+00:00,43.219983253,43.280418707,43.2027159804,43.2717850707,4131538,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18728854,-3878523.1634824714,False,False,False,False,2631222.0413202825,False,False,False,False
2022-02-18 00:00:00+00:00,43.2286168893,43.2458841618,43.2027159804,43.2027159804,2124097,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,1.5343698380182542,-48.549541012498366,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16604757,-4821207.151372658,False,False,False,False,2593657.2234447063,False,False,False,False
2022-02-25 00:00:00+00:00,43.2027159804,43.2286272455,43.1854418037,43.2113530688,2313358,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,2.404479315386326,-47.789948785061334,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18918115,-5865422.547567276,False,False,False,False,2572894.3180043576,False,False,False,False
2022-03-04 00:00:00+00:00,43.2113530688,43.2631755989,43.1854418037,43.1940788921,2424516,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.388225445508074,-45.99626560183957,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.27523547363843254,-0.27523547363843254,False,False,False,False,-16493599,-6652694.877377108,False,False,False,False,2561903.3314855164,False,False,False,False
