date,Close,High,Low,Open,Volume,aVWAP_peak_178,aVWAP_peak_170,aVWAP_peak_158,aVWAP_valley_179,aVWAP_valley_159,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_120,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_88,aVWAP_valley_79,aVWAP_valley_71,aVWAP_valley_63,aVWAP_valley_51,aVWAP_valley_43,aVWAP_OB_bull_179,aVWAP_OB_bull_120,aVWAP_OB_bull_92,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,23.4736276648,23.4826838484,23.0660994068,23.0660994068,72758,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,72758.0,False,False,False,False
2022-01-07 00:00:00+00:00,23.0298746727,23.525157349,22.8215824519,23.4467307998,54529,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-54529,-4039.1851851851848,False,False,False,False,71407.70370370371,False,False,False,False
2022-01-14 00:00:00+00:00,23.0389308562,23.1566612419,22.9664813881,22.9664813881,36839,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.6113715092786995,-51.52842877319675,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17690,-5050.356652949245,False,False,False,False,68847.05898491085,False,False,False,False
2022-01-21 00:00:00+00:00,22.9212004706,23.0914567206,22.875919553,22.875919553,25286,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.9076885181894042,-51.21488222129717,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42976,-7859.663567545596,False,False,False,False,65620.31387491745,False,False,False,False
2022-01-28 00:00:00+00:00,22.8292802079,23.0102227545,22.6744745583,22.8668633695,42936,,,,,,,,,,,,,,,,,,,,,,#000000,,22.837992506899997,,1.043452943937596,-51.040185875926745,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-85912,-13641.318118097774,False,False,False,False,63939.994328627276,False,False,False,False
2022-02-04 00:00:00+00:00,22.9931920722,23.2663785127,22.7928553492,22.8383864226,65337,,,,,,,,,,,,,,,,,,,,,,#000000,,22.946300838574917,,7.7726924199675596,-44.61658757622102,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20575,-14154.924183423864,False,False,False,False,64043.476230210435,False,False,False,False
2022-02-11 00:00:00+00:00,22.9931920722,23.084254219,22.9385547841,22.9385547841,50524,,,,,,,,,,,,,,,,,,,,,,#000000,,22.965083157350836,,12.579292045703248,-40.26952289320055,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20575,-14630.485355022094,False,False,False,False,63042.03354649114,False,False,False,False
2022-02-18 00:00:00+00:00,22.9931920722,23.0660417896,22.9112361401,23.0387231456,32857,,,,,,,,,,,,,,,,,,,,,,#000000,,22.96938173873395,,16.01257749265731,-37.331313951222754,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20575,-15070.819773168605,False,False,False,False,60806.10513563995,False,False,False,False
2022-02-25 00:00:00+00:00,22.9033137333,23.1525508291,22.8657050666,22.9294485694,49520,,,,,,,,,,,,,,,,,,,,,,#000000,,22.970300545517663,,17.50217074653435,-36.24997747372895,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-70095,-19146.684975156117,False,False,False,False,59970.097347814764,False,False,False,False
2022-03-04 00:00:00+00:00,22.9931920722,23.3574406595,22.9476609988,22.9931920722,36641,,,,,,,,,,,,,,,,,,,,,,#000000,,23.043381413657855,,21.44699226306662,-32.77483266235883,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.1448779457480095,0.1448779457480095,False,False,False,False,-33454,-20206.486088107515,False,False,False,False,58242.016062791445,False,False,False,False
