date,Open,High,Low,Close,Volume,aVWAP_peak_868,aVWAP_peak_832,aVWAP_peak_812,aVWAP_peak_798,aVWAP_peak_718,aVWAP_peak_695,aVWAP_peak_676,aVWAP_peak_611,aVWAP_peak_569,aVWAP_peak_546,aVWAP_peak_478,aVWAP_peak_462,aVWAP_peak_425,aVWAP_valley_870,aVWAP_OB_bear_798,aVWAP_OB_bear_695,aVWAP_OB_bear_425,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-03 14:00:00+00:00,78.21,78.21,77.1,77.2,1603.0,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1603.0,False,False,False,False
2025-04-03 15:00:00+00:00,77.2,77.2,76.3,76.93,1764.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1764.0,-27.348837209302324,False,False,False,False,1605.4961240310076,False,False,False,False
2025-04-03 16:00:00+00:00,76.99,77.27,76.86,76.93,2018.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1764.0,-54.27366143861546,False,False,False,False,1611.8915329607594,False,False,False,False
2025-04-03 17:00:00+00:00,76.93,76.93,75.85,75.85,3587.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5351.0,-136.3934496333656,False,False,False,False,1642.5133696590422,False,False,False,False
2025-04-03 18:00:00+00:00,75.84,75.925,75.22,75.46,6763.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12114.0,-322.092775995639,False,False,False,False,1721.9007592767314,False,False,False,False
2025-04-03 19:00:00+00:00,75.46,75.68,74.265,74.3,4683.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16797.0,-577.517694197257,False,False,False,False,1767.809274636782,False,False,False,False
2025-04-04 14:00:00+00:00,71.855,72.005,71.25,71.85,3042.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19839.0,-876.1453268453615,False,False,False,False,1787.5641696036535,False,False,False,False
2025-04-04 15:00:00+00:00,71.85,73.61,71.85,72.97,1848.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,7.049808546743549,-43.655172307930805,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17991.0,-1141.4919109252783,False,False,False,False,1788.5011592222015,False,False,False,False
2025-04-04 16:00:00+00:00,72.8,73.44,72.49,72.84,1825.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.560218755590068,-40.018791632773556,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19816.0,-1431.019168120235,False,False,False,False,1789.0670327226323,False,False,False,False
2025-04-04 17:00:00+00:00,72.84,73.58,72.29,73.58,1301.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.454239633536048,-34.310391328648755,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18515.0,-1695.88708799434,False,False,False,False,1781.5001019827464,False,False,False,False
