date,Open,High,Low,Close,Volume,aVWAP_peak_870,aVWAP_peak_840,aVWAP_peak_798,aVWAP_peak_768,aVWAP_valley_855,aVWAP_valley_820,aVWAP_valley_784,aVWAP_valley_727,aVWAP_valley_683,aVWAP_valley_657,aVWAP_valley_575,aVWAP_valley_561,aVWAP_valley_560,aVWAP_valley_528,aVWAP_valley_527,aVWAP_valley_475,aVWAP_valley_474,aVWAP_valley_443,aVWAP_valley_406,aVWAP_valley_405,aVWAP_valley_404,aVWAP_valley_403,aVWAP_valley_402,aVWAP_valley_365,aVWAP_valley_364,aVWAP_valley_363,aVWAP_valley_362,aVWAP_valley_347,aVWAP_valley_315,aVWAP_valley_314,aVWAP_valley_281,aVWAP_valley_232,aVWAP_valley_197,aVWAP_valley_129,aVWAP_valley_128,aVWAP_valley_127,aVWAP_valley_89,aVWAP_OB_bull_657,aVWAP_OB_bull_575,aVWAP_OB_bull_129,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-19 14:00:00+00:00,0.792,0.792,0.792,0.792,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-03-19 15:00:00+00:00,0.792,0.792,0.792,0.792,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-03-19 16:00:00+00:00,0.792,0.792,0.792,0.792,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-03-19 17:00:00+00:00,0.792,0.792,0.792,0.792,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-03-19 18:00:00+00:00,0.792,0.792,0.781,0.781,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-325.0,-5.038759689922481,False,False,False,False,5.038759689922481,False,False,False,False
2025-03-19 19:00:00+00:00,0.781,0.79,0.7801,0.7801,508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-833.0,-17.875368066822908,False,False,False,False,12.836608376900426,False,False,False,False
2025-03-20 14:00:00+00:00,0.772,0.772,0.772,0.772,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-833.0,-30.512959259585344,False,False,False,False,12.637591192762434,False,False,False,False
2025-03-20 15:00:00+00:00,0.772,0.7806,0.772,0.7806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.827762244886353,-39.35501397960228,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-833.0,-42.954618805948364,False,False,False,False,12.441659546363017,False,False,False,False
2025-03-20 16:00:00+00:00,0.7806,0.7806,0.76,0.7681,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.370088286283924,-36.876586277037646,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1433.0,-64.50570998725149,False,False,False,False,21.551091181303125,False,False,False,False
2025-03-20 17:00:00+00:00,0.7681,0.7722,0.7681,0.7722,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.815893563500218,-32.566389481863204,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1433.0,-85.72267572388324,False,False,False,False,21.216965736631757,False,False,False,False
