date,Open,High,Low,Close,Volume,aVWAP_peak_432,aVWAP_peak_402,aVWAP_peak_376,aVWAP_peak_347,aVWAP_peak_292,aVWAP_peak_243,aVWAP_peak_220,aVWAP_peak_180,aVWAP_peak_154,aVWAP_valley_389,aVWAP_valley_370,aVWAP_valley_352,aVWAP_OB_bear_292,aVWAP_OB_bear_154,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-04 17:00:00+00:00,15.1,15.195,14.99,15.065,14881.0,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14881.0,False,False,False,False
2023-12-05 17:00:00+00:00,15.17,15.19,14.835,14.85,401.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-401.0,-6.217054263565891,False,False,False,False,14656.503875968992,False,False,False,False
2023-12-06 17:00:00+00:00,14.325,14.435,14.275,14.305,10384.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10785.0,-173.32996815095248,False,False,False,False,14590.26350579893,False,False,False,False
2023-12-07 17:00:00+00:00,14.325,14.41,14.23,14.38,7461.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.4278459585273375,-46.9149386373254,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3324.0,-222.17756554396095,False,False,False,False,14479.732288654759,False,False,False,False
2023-12-08 17:00:00+00:00,14.6,14.635,14.505,14.61,2000.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.544543116566754,-38.015581952601565,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1324.0,-239.26008390762047,False,False,False,False,14286.248067125227,False,False,False,False
2023-12-11 17:00:00+00:00,14.65,14.77,14.565,14.735,1520.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.335555867081194,-29.920363377293807,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,196.0,-232.51186555246358,False,False,False,False,14088.32174050313,False,False,False,False
2023-12-12 17:00:00+00:00,14.295,14.34,14.25,14.295,9709.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,24.807275003671307,-29.550887656719983,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9513.0,-376.3954025206424,False,False,False,False,14020.42527941006,False,False,False,False
2023-12-13 17:00:00+00:00,14.48,14.56,14.395,14.55,3832.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,30.298283286563436,-25.14008948195184,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5681.0,-458.63733426450835,False,False,False,False,13862.46519755874,False,False,False,False
2023-12-14 17:00:00+00:00,14.915,14.98,14.835,14.895,3000.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.30039264215121,-18.411990620381584,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2681.0,-493.09256939219034,False,False,False,False,13694.054884418294,False,False,False,False
2023-12-15 17:00:00+00:00,14.865,14.945,14.825,14.875,1000.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.37701763764301,-14.389899510108862,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3681.0,-542.5174907969625,False,False,False,False,13497.247831946692,False,False,False,False
2023-12-18 17:00:00+00:00,14.515,14.545,14.32,14.405,400.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.876393236371186,-14.389899510108862,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4081.0,-597.3776847380949,False,False,False,False,13294.189726025037,False,False,False,False
2023-12-19 17:00:00+00:00,14.59,14.635,14.485,14.6,1333.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.18458218965063,-14.389899510108862,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2748.0,-630.7206663700624,False,False,False,False,13108.74492407116,False,False,False,False
2023-12-20 17:00:00+00:00,14.56,14.605,14.425,14.43,2096.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.52981197859089,-14.389899510108862,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4844.0,-696.0428265813792,False,False,False,False,12938.00469269021,False,False,False,False
