date,Open,High,Low,Close,Volume,aVWAP_peak_432,aVWAP_peak_431,aVWAP_peak_414,aVWAP_peak_400,aVWAP_peak_399,aVWAP_peak_394,aVWAP_peak_374,aVWAP_peak_359,aVWAP_peak_332,aVWAP_peak_315,aVWAP_peak_303,aVWAP_peak_296,aVWAP_peak_280,aVWAP_peak_273,aVWAP_peak_265,aVWAP_valley_422,aVWAP_valley_402,aVWAP_valley_378,aVWAP_valley_368,aVWAP_OB_bull_422,aVWAP_OB_bull_378,aVWAP_OB_bear_436,aVWAP_OB_bear_332,aVWAP_OB_bear_319,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-08 17:00:00+00:00,6.09,6.095,6.055,6.085,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,278.0,False,False,False,False
2023-11-09 17:00:00+00:00,6.065,6.07,5.99,6.0,7220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7220.0,-111.93798449612403,False,False,False,False,385.6279069767442,False,False,False,False
2023-11-10 17:00:00+00:00,6.09,6.155,6.09,6.155,5676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.409638554216883,-83.61445783132532,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1544.0,-134.14049636440117,False,False,False,False,467.6491797367947,False,False,False,False
2023-11-13 17:00:00+00:00,6.185,6.19,6.135,6.15,3609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,36.815677883542435,-68.40805857951065,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5153.0,-211.9522716145655,False,False,False,False,516.3522932292475,False,False,False,False
2023-11-14 17:00:00+00:00,6.28,6.3,6.225,6.265,4560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,50.78824233358012,-53.11157076556157,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-593.0,-217.8599883337195,False,False,False,False,579.0445057373212,False,False,False,False
2023-11-15 17:00:00+00:00,6.265,6.295,6.25,6.28,4759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.478888898110824,-41.38668538061497,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4166.0,-149.89316680916573,False,False,False,False,643.8500172762774,False,False,False,False
2023-11-16 17:00:00+00:00,6.06,6.14,6.045,6.135,7769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,57.207898620186,-41.38668538061497,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3603.0,-203.42970685863602,False,False,False,False,754.3174588688933,False,False,False,False
2023-11-17 17:00:00+00:00,6.115,6.135,6.09,6.125,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,54.56143789736747,-40.615060621014806,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6003.0,-293.3455253569517,False,False,False,False,779.8319168709259,False,False,False,False
2023-11-20 17:00:00+00:00,6.145,6.19,6.135,6.17,3965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,54.86900704152709,-36.20181950850654,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2038.0,-320.39443194056486,False,False,False,False,829.2143677721518,False,False,False,False
2023-11-21 17:00:00+00:00,6.14,6.145,6.105,6.125,2862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.83363887237413,-34.17026137283031,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4900.0,-391.39606865466465,False,False,False,False,860.7304240857619,False,False,False,False
