date,Open,High,Low,Close,Volume,aVWAP_peak_857,aVWAP_valley_878,aVWAP_valley_798,aVWAP_valley_692,aVWAP_valley_672,aVWAP_valley_646,aVWAP_valley_624,aVWAP_valley_600,aVWAP_valley_580,aVWAP_valley_518,aVWAP_valley_491,aVWAP_valley_462,aVWAP_valley_430,aVWAP_valley_357,aVWAP_valley_307,aVWAP_valley_288,aVWAP_valley_193,aVWAP_valley_178,aVWAP_OB_bull_878,aVWAP_OB_bull_798,aVWAP_OB_bull_491,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-28 15:00:00+00:00,47.44,48.07,47.28,47.72,10930.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10930.0,False,False,False,False
2025-01-28 16:00:00+00:00,47.76,48.035,47.24,47.39,14484.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14484.0,-224.5581395348837,False,False,False,False,10985.100775193798,False,False,False,False
2025-01-28 17:00:00+00:00,47.455,47.68,47.03,47.125,8516.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23000.0,-577.6657652785289,False,False,False,False,10946.82014302025,False,False,False,False
2025-01-28 18:00:00+00:00,47.19,47.4,46.925,46.95,9109.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32109.0,-1066.5236603904896,False,False,False,False,10918.326807469548,False,False,False,False
2025-01-28 19:00:00+00:00,46.95,47.7,46.92,47.66,12133.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.111674487449978,-33.69949296129502,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19976.0,-1359.693836198389,False,False,False,False,10937.1589499894,False,False,False,False
2025-01-28 20:00:00+00:00,47.625,48.25,47.38,48.21,49394.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,35.07763686459215,-19.516827291114062,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29418.0,-882.5202883503518,False,False,False,False,11533.389043788013,False,False,False,False
2025-01-29 15:00:00+00:00,47.88,48.9,47.88,48.43,10310.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,47.693376762119385,-9.760192709566482,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,39728.0,-252.89981876352465,False,False,False,False,11514.421771791298,False,False,False,False
2025-01-29 16:00:00+00:00,48.44,48.79,48.425,48.62,8454.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,57.09057381434269,-2.834399985925053,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48182.0,498.0288605971501,False,False,False,False,11466.973372228642,False,False,False,False
2025-01-29 17:00:00+00:00,48.68,48.8,48.39,48.5,10659.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,61.53205756345105,-0.021764430009227453,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37523.0,1072.0594208979694,False,False,False,False,11454.446653279361,False,False,False,False
2025-01-29 18:00:00+00:00,48.52,48.74,48.4,48.545,12428.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.78408551946521,2.324750766498717,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,49951.0,1829.8724531321095,False,False,False,False,11469.540503616116,False,False,False,False
2025-01-29 19:00:00+00:00,48.49,48.51,47.53,47.905,8425.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,59.33040574907703,2.324750766498717,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41526.0,2445.3162910680458,False,False,False,False,11422.338325265478,False,False,False,False
2025-01-29 20:00:00+00:00,47.845,48.01,47.555,47.645,10343.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,53.63102327399831,2.324750766498717,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31183.0,2890.861774927456,False,False,False,False,11405.604397741981,False,False,False,False
2025-01-30 15:00:00+00:00,49.94,50.105,49.015,49.02,20946.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,58.15042797838122,2.324750766498717,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,52129.0,3654.2437629130764,False,False,False,False,11553.517507854509,False,False,False,False
2025-01-30 16:00:00+00:00,49.05,50.075,49.05,50.035,12821.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.05118318260732,2.324750766498717,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,64950.0,4604.565565038455,False,False,False,False,11573.168399205602,False,False,False,False
2025-01-30 17:00:00+00:00,50.035,50.86,49.91,50.24,35800.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,50.336666666666666,,68.44059386343446,4.553435803718308,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,100750.0,6095.192455502975,False,False,False,False,11948.778191465979,False,False,False,False
2025-01-30 18:00:00+00:00,50.275,50.275,49.565,49.675,13710.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,50.19867131219283,,67.52410210919797,4.553435803718308,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,87040.0,7350.150712006804,False,False,False,False,11976.083955939373,False,False,False,False
2025-01-30 19:00:00+00:00,49.615,49.72,49.13,49.32,12667.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,50.03392487039688,,64.82291456590411,4.553435803718308,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,74373.0,8389.26465445631,False,False,False,False,11986.795832591477,False,False,False,False
2025-01-30 20:00:00+00:00,49.28,50.04,48.89,49.97,31193.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,49.90009546249687,,65.24474430672096,4.553435803718308,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,105566.0,9895.880706325204,False,False,False,False,12284.56643983812,False,False,False,False
2025-01-31 15:00:00+00:00,49.18,49.72,48.91,48.93,25983.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,49.74478289890772,,60.497569724669816,4.553435803718308,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,79583.0,10976.301160490704,False,False,False,False,12496.94525472435,False,False,False,False
2025-01-31 16:00:00+00:00,48.92,49.0,47.81,48.37,23511.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,49.522376059282486,,55.26758229179395,4.553435803718308,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56072.0,11675.459282033484,False,False,False,False,12667.705793410794,False,False,False,False
2025-01-31 17:00:00+00:00,48.305,48.465,48.11,48.25,9601.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,49.44382650662994,,51.35598396426334,12.31141980038749,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,46471.0,12214.925029598855,False,False,False,False,12620.159967156362,False,False,False,False
2025-01-31 18:00:00+00:00,48.23,48.45,47.49,47.5,17426.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,49.276584133356096,,46.32930086575538,7.1976097569042,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29045.0,12475.856424488795,False,False,False,False,12694.669114952387,False,False,False,False
2025-01-31 19:00:00+00:00,47.5,47.74,46.96,47.235,12415.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,49.14277366991029,,42.22672529940097,3.0147981467550693,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16630.0,12540.261751240907,False,False,False,False,12690.333159681806,False,False,False,False
2025-01-31 20:00:00+00:00,47.14,47.47,46.74,47.02,25220.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,48.89168600560893,,38.88294821750813,-0.4774752088712688,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8590.0,12212.660793857327,False,False,False,False,12884.591560306895,False,False,False,False
2025-02-03 15:00:00+00:00,46.55,47.26,46.03,47.21,8105.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,47.82382564813655,,37.798790971376754,-1.973837408523778,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-485.0,12015.797835813026,False,False,False,False,12810.489365573454,False,False,False,False
2025-02-03 16:00:00+00:00,47.14,47.47,46.85,47.05,11560.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,47.86604278884295,,36.53209575819449,-3.7867691354453115,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12045.0,11642.762210451583,False,False,False,False,12791.101933549058,False,False,False,False
2025-02-03 17:00:00+00:00,47.04,47.42,46.965,47.215,13389.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,47.863251230829775,,36.79758019399492,-4.231573029112383,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1344.0,11483.091478506598,False,False,False,False,12800.371671013414,False,False,False,False
2025-02-03 18:00:00+00:00,47.2,47.51,46.885,47.39,11957.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,47.85423860275823,,38.160720242055234,-4.231573029112383,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13301.0,11511.276106746805,False,False,False,False,12787.29614123026,False,False,False,False
2025-02-03 19:00:00+00:00,47.37,47.57,47.335,47.47,5319.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,47.860006736267344,,39.62853887693005,-4.231573029112383,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18620.0,11621.488880285615,False,False,False,False,12671.508604156923,False,False,False,False
2025-02-03 20:00:00+00:00,47.41,47.62,47.08,47.615,9091.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,47.86188369049967,,41.65412251365364,-4.231573029112383,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27711.0,11870.938665087388,False,False,False,False,12615.996842852164,False,False,False,False
