date,Open,High,Low,Close,Volume,aVWAP_peak_828,aVWAP_peak_827,aVWAP_peak_801,aVWAP_peak_774,aVWAP_peak_744,aVWAP_valley_840,aVWAP_valley_838,aVWAP_valley_837,aVWAP_valley_811,aVWAP_valley_810,aVWAP_valley_791,aVWAP_valley_771,aVWAP_valley_750,aVWAP_valley_659,aVWAP_valley_575,aVWAP_valley_527,aVWAP_valley_516,aVWAP_valley_468,aVWAP_valley_437,aVWAP_valley_436,aVWAP_valley_360,aVWAP_valley_342,aVWAP_valley_311,aVWAP_valley_294,aVWAP_valley_252,aVWAP_valley_186,aVWAP_valley_157,aVWAP_valley_155,aVWAP_valley_89,aVWAP_OB_bull_840,aVWAP_OB_bull_575,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-19 14:00:00+00:00,1.28,1.315,1.28,1.315,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,589.0,False,False,False,False
2025-03-19 15:00:00+00:00,1.315,1.33,1.305,1.305,2536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2536.0,-39.31782945736434,False,False,False,False,619.186046511628,False,False,False,False
2025-03-19 16:00:00+00:00,1.305,1.31,1.295,1.295,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4236.0,-104.38266931073854,False,False,False,False,635.9428519920679,False,False,False,False
2025-03-19 17:00:00+00:00,1.295,1.305,1.295,1.3,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,7.64872521246472,-43.11614730878175,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4146.0,-167.04340311987437,False,False,False,False,627.478621728625,False,False,False,False
2025-03-19 18:00:00+00:00,1.305,1.325,1.305,1.325,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,27.220034358678234,-25.960892589937473,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-159.0,-166.91869919553523,False,False,False,False,679.5642244925223,False,False,False,False
2025-03-19 19:00:00+00:00,1.325,1.34,1.315,1.325,5828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,40.267573789487244,-15.637144857781045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-159.0,-166.7959286653719,False,False,False,False,759.3849341903126,False,False,False,False
2025-03-20 14:00:00+00:00,1.32,1.33,1.31,1.315,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.056398640666245,-13.734240432966871,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1088.0,-181.07816232947465,False,False,False,False,762.0146251330984,False,False,False,False
2025-03-20 15:00:00+00:00,1.315,1.325,1.31,1.325,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,49.803415339043134,-9.457288914355829,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-961.0,-193.16997376622697,False,False,False,False,752.1694371465387,False,False,False,False
2025-03-20 16:00:00+00:00,1.325,1.325,1.31,1.315,1377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,49.88495592774799,-9.457288914355829,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2338.0,-226.42315246752577,False,False,False,False,761.8567326946544,False,False,False,False
2025-03-20 17:00:00+00:00,1.315,1.32,1.31,1.315,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.93931632021789,-9.457288914355829,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2338.0,-259.1607780106649,False,False,False,False,760.9907368389233,False,False,False,False
2025-03-20 18:00:00+00:00,1.315,1.32,1.3,1.305,964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,46.83105006975777,-9.457288914355829,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3302.0,-306.3365799019724,False,False,False,False,764.1381672755292,False,False,False,False
